sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,['note_on'],[0],[60],[56],p,0,1,100,0,0,96
0.1,['note_on'],[0],[64],[49],p,0,1,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,['note_on'],[0],[67],[62],mp,0,1,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,['note_on'],[0],[72],[57],p,0,1,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,['note_on'],[0],[76],[64],mp,0,1,0,0,0,0
0.9,['note_on'],[0],[67],[69],mp,0,1,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,['note_on'],[0],[72],[69],mp,0,1,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,['note_on'],[0],[76],[69],mp,0,1,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,92,0
1.5,['note_on'],[0],[60],[73],mp,0,1,0,0,"[34, 4, 0]",0
1.6,['note_on'],[0],[64],[62],mp,0,1,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,"[4, 34, 62, 86, 127]",0
1.8,['note_on'],[0],[67],[62],mp,0,1,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,['note_on'],[0],[72],[65],mp,0,1,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,['note_on'],[0],[76],[69],mp,0,1,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,['note_on'],[0],[67],[69],mp,0,1,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,['note_on'],[0],[72],[73],mp,0,1,0,0,0,0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,['note_on'],[0],[76],[75],mf,0,1,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,['note_on'],[0],[60],[75],mf,0,1,0,0,"[116, 92, 66, 40, 0]",0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,['note_on'],[0],[62],[67],mp,0,1,0,0,0,0
3.3,['note_on'],[0],[69],[65],mp,0,1,0,0,"[80, 127]",0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,['note_on'],[0],[74],[75],mf,0,1,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,['note_on'],[0],[77],[82],mf,1,1,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,['note_on'],[0],[69],[73],mp,0,1,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,['note_on'],[0],[74],[80],mf,1,1,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,['note_on'],[0],[77],[80],mf,1,1,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,['note_on'],[0],[60],[76],mf,1,1,0,0,"[100, 70, 0]",0
4.6,['note_on'],[0],[62],[70],mp,0,1,0,0,0,0
4.7,[],[],[],[],,0,0,0,0,"[4, 36, 64, 90, 127]",0
4.8,['note_on'],[0],[69],[75],mf,0,1,0,0,0,0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,['note_on'],[0],[74],[78],mf,1,1,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,['note_on'],[0],[77],[84],mf,1,1,0,0,0,0
5.3,[],[],[],[],,0,0,0,0,0,0
5.4,['note_on'],[0],[69],[78],mf,1,1,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,['note_on'],[0],[74],[86],mf,1,1,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,['note_on'],[0],[77],[80],mf,1,1,0,0,0,0
5.9,[],[],[],[],,0,0,0,0,0,0
6.0,['note_on'],[0],[59],[70],mp,0,1,0,0,"[92, 64, 4, 0]",0
6.1,['note_on'],[0],[62],[62],mp,0,1,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,"[12, 46, 72, 98, 126]",0
6.3,['note_on'],[0],[67],[80],mf,1,1,0,0,127,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,['note_on'],[0],[74],[80],mf,1,1,0,0,0,0
6.6,[],[],[],[],,0,0,0,0,0,0
6.7,['note_on'],[0],[77],[73],mp,0,1,0,0,0,0
6.8,[],[],[],[],,0,0,0,0,0,0
6.9,['note_on'],[0],[67],[76],mf,1,1,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,['note_on'],[0],[74],[76],mf,1,1,0,0,0,0
7.2,[],[],[],[],,0,0,0,0,0,0
7.3,['note_on'],[0],[77],[73],mp,0,1,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,['note_on'],[0],[59],[76],mf,1,1,0,0,"[16, 0]",0
7.6,['note_on'],[0],[62],[67],mp,0,1,0,0,"[2, 24]",0
7.7,[],[],[],[],,0,0,0,0,"[68, 90, 108, 126, 127]",0
7.8,['note_on'],[0],[67],[76],mf,1,1,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,0,0
8.0,['note_on'],[0],[74],[73],mp,0,1,0,0,0,0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,['note_on'],[0],[77],[70],mp,0,1,0,0,0,0
8.3,[],[],[],[],,0,0,0,0,0,0
8.4,['note_on'],[0],[67],[70],mp,0,1,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,0,0
8.6,['note_on'],[0],[74],[73],mp,0,1,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,['note_on'],[0],[77],[75],mf,0,1,0,0,0,0
8.9,[],[],[],[],,0,0,0,0,0,0
9.0,['note_on'],[0],[60],[75],mf,0,1,0,0,"[92, 40, 12, 0]",0
9.1,[],[],[],[],,0,0,0,0,0,0
9.2,['note_on'],[0],[64],[67],mp,0,1,0,0,"[34, 62, 84, 104, 127]",0
9.3,['note_on'],[0],[67],[65],mp,0,1,0,0,0,0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,['note_on'],[0],[72],[67],mp,0,1,0,0,0,0
9.6,[],[],[],[],,0,0,0,0,0,0
9.7,['note_on'],[0],[76],[73],mp,0,1,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,0,0
9.9,['note_on'],[0],[67],[76],mf,1,1,0,0,0,0
10.0,[],[],[],[],,0,0,0,0,0,0
10.1,['note_on'],[0],[72],[59],p,0,1,0,0,0,0
10.2,[],[],[],[],,0,0,0,0,0,0
10.3,['note_on'],[0],[76],[60],p,0,1,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,0,0
10.5,['note_on'],[0],[60],[70],mp,0,1,0,0,"[70, 0]",0
10.6,[],[],[],[],,0,0,0,0,0,0
10.7,['note_on'],[0],[64],[67],mp,0,1,0,0,"[72, 94, 116, 127]",0
10.8,['note_on'],[0],[67],[60],p,0,1,0,0,0,0
10.9,[],[],[],[],,0,0,0,0,0,0
11.0,['note_on'],[0],[72],[64],mp,0,1,0,0,0,0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,['note_on'],[0],[76],[73],mp,0,1,0,0,0,0
11.3,[],[],[],[],,0,0,0,0,0,0
11.4,['note_on'],[0],[67],[69],mp,0,1,0,0,0,0
11.5,[],[],[],[],,0,0,0,0,0,0
11.6,['note_on'],[0],[72],[70],mp,0,1,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,['note_on'],[0],[76],[70],mp,0,1,0,0,0,0
11.9,[],[],[],[],,0,0,0,0,0,0
12.0,['note_on'],[0],[60],[76],mf,1,1,0,0,"[96, 64, 30, 4, 0]",0
12.1,[],[],[],[],,0,0,0,0,"[2, 54]",0
12.2,['note_on'],[0],[64],[69],mp,0,1,0,0,"[74, 98, 120, 127]",0
12.3,['note_on'],[0],[69],[59],p,0,1,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,0,0
12.5,['note_on'],[0],[76],[59],p,0,1,0,0,0,0
12.6,[],[],[],[],,0,0,0,0,0,0
12.7,['note_on'],[0],[79],[93],f,1,1,0,0,0,0
12.8,[],[],[],[],,0,0,0,0,0,0
12.9,['note_on'],[0],[69],[73],mp,0,1,0,0,0,0
13.0,[],[],[],[],,0,0,0,0,0,0
13.1,['note_on'],[0],[76],[78],mf,1,1,0,0,0,0
13.2,[],[],[],[],,0,0,0,0,0,0
13.3,['note_on'],[0],[81],[80],mf,1,1,0,0,0,0
13.4,[],[],[],[],,0,0,0,0,126,0
13.5,['note_on'],[0],[60],[78],mf,1,1,0,0,"[22, 0]",0
13.6,['note_on'],[0],[64],[69],mp,0,1,0,0,"[4, 60, 80]",0
13.7,[],[],[],[],,0,0,0,0,"[102, 124, 127]",0
