sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,"['note_on', 'note_on']","[0, 0]","[60, 64]","[66, 65]",mp,0,2,100,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,['note_on'],[0],[67],[55],p,0,1,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,['note_on'],[0],[72],[66],mp,0,1,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,['note_on'],[0],[76],[66],mp,0,1,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,['note_on'],[0],[67],[65],mp,0,1,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,['note_on'],[0],[72],[70],mp,0,1,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,['note_on'],[0],[76],[72],mp,0,1,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,['note_on'],[0],[60],[81],mf,1,1,0,0,"[94, 20, 0]",0
1.6,['note_on'],[0],[64],[64],mp,0,1,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,"[16, 32, 46, 64]",0
1.8,['note_on'],[0],[67],[66],mp,0,1,0,0,"[78, 98, 120, 127]",0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,['note_on'],[0],[72],[76],mf,1,1,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,['note_on'],[0],[76],[70],mp,0,1,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,['note_on'],[0],[67],[58],p,0,1,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,['note_on'],[0],[72],[70],mp,0,1,0,0,0,0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,['note_on'],[0],[76],[74],mp,0,1,0,0,0,0
2.9,['note_on'],[0],[60],[74],mp,0,1,0,0,108,0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,['note_on'],[0],[62],[70],mp,0,1,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,"[46, 64, 82, 98]",0
3.3,['note_on'],[0],[69],[65],mp,0,1,0,0,"[112, 124, 127]",0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,['note_on'],[0],[74],[74],mp,0,1,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
