sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,[],[],[],[],,0,0,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,2,0
3.0,[],[],[],[],,0,0,0,0,"[12, 18, 24, 30, 38, 46, 54, 62, 72, 82]",0
3.1,[],[],[],[],,0,0,0,0,"[96, 110, 127]",0
3.2,['note_on'],[0],[70],[51],p,0,1,0,0,0,0
3.3,[],[],[],[],,0,0,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,[],[],[],[],,0,0,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,"[122, 100, 78]",0
3.8,"['note_on', 'note_on']","[0, 0]","[79, 39]","[55, 33]",pp,0,2,0,0,"[58, 38, 16, 0]",0
3.9,[],[],[],[],,0,0,0,0,"[8, 50, 74, 114, 127]",0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,"['note_on', 'note_on']","[0, 0]","[63, 55]","[31, 31]",ppp,0,2,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,[],[],[],[],,0,0,0,0,0,0
4.6,[],[],[],[],,0,0,0,0,0,0
4.7,[],[],[],[],,0,0,0,0,0,0
4.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[67, 63, 58]","[38, 29, 29]",ppp,0,3,0,0,0,0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,[],[],[],[],,0,0,0,0,0,0
5.3,['note_on'],[0],[51],[29],ppp,0,1,0,0,"[118, 94, 76, 56, 38, 20, 12, 6, 4, 8]",0
5.4,[],[],[],[],,0,0,0,0,"[18, 32, 44, 64, 106, 127]",0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,[],[],[],[],,0,0,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 77, 62]","[31, 55, 20]",ppp,0,3,0,0,0,0
6.0,[],[],[],[],,0,0,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
6.3,[],[],[],[],,0,0,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[68, 79, 59, 62]","[32, 58, 20, 20]",ppp,0,4,0,0,0,0
6.6,[],[],[],[],,0,0,0,0,0,0
6.7,[],[],[],[],,0,0,0,0,0,0
6.8,[],[],[],[],,0,0,0,0,0,0
6.9,[],[],[],[],,0,0,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,"[114, 84]",0
7.1,"['note_on', 'note_on']","[0, 0]","[77, 39]","[57, 36]",pp,0,2,0,0,"[2, 0]",0
7.2,[],[],[],[],,0,0,0,0,"[1, 48, 76, 102, 127]",0
7.3,[],[],[],[],,0,0,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,[],[],[],[],,0,0,0,0,0,0
7.7,"['note_on', 'note_on']","[0, 0]","[55, 63]","[26, 26]",ppp,0,2,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,0,0
8.0,[],[],[],[],,0,0,0,0,0,0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,[],[],[],[],,0,0,0,0,0,0
8.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[58, 63, 67]","[31, 24, 29]",ppp,0,3,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,0,0
8.6,[],[],[],[],,0,0,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,[],[],[],[],,0,0,0,0,"[120, 94]",0
8.9,"['note_on', 'note_on']","[0, 0]","[38, 75]","[37, 51]",pp,0,2,0,0,"[66, 12, 0]",0
9.0,[],[],[],[],,0,0,0,0,"[4, 26, 102, 127]",0
9.1,[],[],[],[],,0,0,0,0,0,0
9.2,[],[],[],[],,0,0,0,0,0,0
9.3,[],[],[],[],,0,0,0,0,0,0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,"['note_on', 'note_on']","[0, 0]","[63, 55]","[26, 26]",ppp,0,2,0,0,0,0
9.6,[],[],[],[],,0,0,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,0,0
9.9,[],[],[],[],,0,0,0,0,0,0
10.0,[],[],[],[],,0,0,0,0,0,0
10.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[63, 58, 70, 67]","[30, 32, 53, 20]",ppp,0,4,0,0,0,0
10.2,[],[],[],[],,0,0,0,0,0,0
10.3,[],[],[],[],,0,0,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,0,0
10.5,[],[],[],[],,0,0,0,0,0,0
10.6,[],[],[],[],,0,0,0,0,108,0
10.7,"['note_on', 'note_on']","[0, 0]","[36, 79]","[44, 63]",p,0,2,0,0,"[78, 50, 24, 2, 0]",0
10.8,[],[],[],[],,0,0,0,0,"[6, 74, 100, 126, 127]",0
10.9,[],[],[],[],,0,0,0,0,0,0
11.0,[],[],[],[],,0,0,0,0,0,0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,[],[],[],[],,0,0,0,0,0,0
11.3,"['note_on', 'note_on']","[0, 0]","[55, 64]","[27, 31]",ppp,0,2,0,0,0,0
11.4,[],[],[],[],,0,0,0,0,0,0
11.5,[],[],[],[],,0,0,0,0,0,0
11.6,[],[],[],[],,0,0,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,[],[],[],[],,0,0,0,0,0,0
11.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[58, 72, 64]","[34, 49, 20]",ppp,0,3,0,0,0,0
12.0,[],[],[],[],,0,0,0,0,0,0
12.1,['note_on'],[0],[73],[56],p,0,1,0,0,0,0
12.2,['note_on'],[0],[72],[44],pp,0,1,0,0,0,0
12.3,['note_on'],[0],[71],[63],mp,0,1,0,0,0,0
12.4,['note_on'],[0],[72],[38],pp,0,1,0,0,0,0
12.5,[],[],[],[],,0,0,0,0,0,0
12.6,"['note_on', 'note_on']","[0, 0]","[48, 84]","[40, 75]",p,0,2,0,0,"[126, 98, 70, 44, 14, 0]",0
12.7,[],[],[],[],,0,0,0,0,"[4, 76, 102]",0
12.8,[],[],[],[],,0,0,0,0,127,0
12.9,[],[],[],[],,0,0,0,0,0,0
13.0,[],[],[],[],,0,0,0,0,0,0
13.1,[],[],[],[],,0,0,0,0,0,0
13.2,"['note_on', 'note_on']","[0, 0]","[55, 64]","[27, 35]",ppp,0,2,0,0,0,0
13.3,[],[],[],[],,0,0,0,0,0,0
13.4,[],[],[],[],,0,0,0,0,0,0
13.5,[],[],[],[],,0,0,0,0,0,0
13.6,[],[],[],[],,0,0,0,0,0,0
13.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[70, 79, 60]","[35, 61, 29]",pp,0,3,0,0,0,0
13.8,[],[],[],[],,0,0,0,0,0,0
13.9,[],[],[],[],,0,0,0,0,0,0
14.0,[],[],[],[],,0,0,0,0,0,0
14.1,[],[],[],[],,0,0,0,0,0,0
14.2,[],[],[],[],,0,0,0,0,0,0
14.3,"['note_on', 'note_on']","[0, 0]","[41, 82]","[38, 59]",pp,0,2,0,0,"[108, 1, 0]",0
14.4,[],[],[],[],,0,0,0,0,0,0
14.5,[],[],[],[],,0,0,0,0,"[26, 64, 94, 127]",0
14.6,[],[],[],[],,0,0,0,0,0,0
14.7,[],[],[],[],,0,0,0,0,0,0
14.8,[],[],[],[],,0,0,0,0,0,0
14.9,"['note_on', 'note_on']","[0, 0]","[53, 61]","[37, 35]",pp,0,2,0,0,0,0
15.0,[],[],[],[],,0,0,0,0,0,0
15.1,[],[],[],[],,0,0,0,0,0,0
15.2,[],[],[],[],,0,0,0,0,0,0
15.3,[],[],[],[],,0,0,0,0,0,0
15.4,[],[],[],[],,0,0,0,0,0,0
15.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 61, 58]","[33, 25, 32]",ppp,0,3,0,0,0,0
15.6,[],[],[],[],,0,0,0,0,0,0
15.7,[],[],[],[],,0,0,0,0,0,0
15.8,[],[],[],[],,0,0,0,0,0,0
15.9,[],[],[],[],,0,0,0,0,0,0
16.0,[],[],[],[],,0,0,0,0,0,0
16.1,"['note_on', 'note_on']","[0, 0]","[80, 41]","[49, 37]",pp,0,2,0,0,"[2, 0]",0
16.2,[],[],[],[],,0,0,0,0,"[36, 64, 90]",0
16.3,[],[],[],[],,0,0,0,0,"[116, 127]",0
16.4,[],[],[],[],,0,0,0,0,0,0
