sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,"[22, 42]",0
1.6,[],[],[],[],,0,0,0,0,"[92, 120, 127]",0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,['note_on'],[0],[58],[85],mf,1,1,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,['note_on'],[0],[71],[87],mf,1,1,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,"[120, 98]",0
2.7,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[56, 71, 58, 62]","[68, 81, 56, 63]",mp,0,4,0,0,"[72, 48, 22, 2, 0, 4]",0
2.8,[],[],[],[],,0,0,0,0,"[24, 44, 64, 82, 98, 116, 127]",0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[58, 62, 56]","[59, 61, 59]",p,0,3,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,0,0
3.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 56, 58]","[61, 55, 55]",p,0,3,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,[],[],[],[],,0,0,0,0,0,0
3.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 62, 58]","[51, 60, 55]",p,0,3,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 62, 58]","[60, 61, 55]",p,0,3,0,0,"[110, 92, 76, 64, 56]",0
4.0,[],[],[],[],,0,0,0,0,"[60, 65, 74, 82, 92, 104, 116, 126, 127]",0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 62, 58]","[63, 65, 47]",p,0,3,0,0,0,0
4.3,[],[],[],[],,0,0,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,"['note_on', 'note_on']","[0, 0]","[72, 53]","[81, 63]",mp,0,2,0,0,124,0
4.6,"['note_on', 'note_on']","[0, 0]","[62, 58]","[56, 51]",p,0,2,0,0,"[104, 90, 74, 62, 54, 48, 46, 52, 60, 65, 76, 92]",0
4.7,[],[],[],[],,0,0,0,0,"[102, 116, 127]",0
4.8,[],[],[],[],,0,0,0,0,0,0
4.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[53, 58, 62]","[58, 61, 61]",p,0,3,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,"['note_on', 'note_on']","[0, 0]","[71, 53]","[90, 58]",mp,0,2,0,0,"[118, 98, 76, 58, 44, 34]",0
5.3,"['note_on', 'note_on']","[0, 0]","[57, 63]","[53, 70]",p,0,2,0,0,"[26, 18, 16, 22, 30, 42, 54, 65, 78, 92, 102]",0
5.4,[],[],[],[],,0,0,0,0,"[114, 124, 127]",0
5.5,['note_on'],[0],[63],[68],mp,0,1,0,0,0,0
5.6,"['note_on', 'note_on']","[0, 0]","[53, 57]","[56, 42]",p,0,2,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,"['note_on', 'note_on']","[0, 0]","[63, 53]","[81, 60]",mp,0,2,0,0,0,0
6.0,[],[],[],[],,0,0,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,['note_on'],[0],[63],[79],mf,1,1,0,0,0,0
6.3,['note_on'],[0],[53],[56],p,0,1,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,[],[],[],[],,0,0,0,0,0,0
6.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 63, 58]","[56, 55, 51]",p,0,3,0,0,"[120, 100, 84, 68, 58, 50, 46, 50, 58, 64, 74, 82]",0
6.7,['note_on'],[0],[58],[36],pp,0,1,0,0,"[94, 104, 116, 127]",0
6.8,[],[],[],[],,0,0,0,0,0,0
6.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 63, 58]","[55, 81, 35]",p,0,3,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,[],[],[],[],,0,0,0,0,0,0
7.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[54, 72, 58, 64]","[51, 89, 52, 52]",p,0,4,0,0,"[114, 98, 86, 74, 70, 68, 72]",0
7.3,[],[],[],[],,0,0,0,0,"[76, 82, 90, 100, 110, 122, 127]",0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 58, 54]","[61, 47, 55]",p,0,3,0,0,0,0
7.6,[],[],[],[],,0,0,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,0,0
7.9,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 53, 64, 57]","[94, 65, 72, 58]",mp,0,4,0,0,"[126, 102, 82, 64, 48, 36, 28, 18, 16, 14, 16, 18]",0
8.0,[],[],[],[],,0,0,0,0,"[28, 40, 50, 65, 80, 92, 104, 116, 127]",0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 57, 53]","[69, 41, 50]",p,0,3,0,0,0,0
8.3,[],[],[],[],,0,0,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 53, 57]","[66, 50, 63]",p,0,3,0,0,118,0
8.6,[],[],[],[],,0,0,0,0,"[110, 108, 110, 114, 120, 127]",0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,[],[],[],[],,0,0,0,0,0,0
8.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 57, 53]","[81, 53, 48]",p,0,3,0,0,0,0
9.0,[],[],[],[],,0,0,0,0,0,0
9.1,[],[],[],[],,0,0,0,0,0,0
9.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[61, 57, 53]","[76, 56, 50]",p,0,3,0,0,"[124, 106, 92, 82, 76, 74, 78]",0
9.3,[],[],[],[],,0,0,0,0,"[82, 90, 96, 104, 116, 126, 127]",0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[61, 57, 53]","[55, 56, 50]",p,0,3,0,0,0,0
9.6,[],[],[],[],,0,0,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,0,0
9.9,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[56, 61, 72, 53]","[61, 53, 85, 65]",mp,0,4,0,0,"[116, 96, 78, 64, 52, 46, 42, 48, 58, 65, 78]",0
10.0,[],[],[],[],,0,0,0,0,"[92, 104, 118, 127]",0
10.1,[],[],[],[],,0,0,0,0,0,0
10.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[62, 53, 61, 56]","[63, 65, 53, 44]",p,0,4,0,0,0,0
10.3,[],[],[],[],,0,0,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,0,0
10.5,"['note_on', 'note_on']","[0, 0]","[70, 52]","[97, 60]",mf,1,2,0,0,112,0
10.6,"['note_on', 'note_on']","[0, 0]","[62, 56]","[61, 59]",p,0,2,0,0,"[88, 65, 46, 30, 18, 10, 6, 8, 14, 24, 40, 54]",0
10.7,[],[],[],[],,0,0,0,0,"[70, 86, 100, 116, 127]",0
10.8,[],[],[],[],,0,0,0,0,0,0
10.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 62, 52]","[42, 61, 55]",p,0,3,0,0,0,0
11.0,[],[],[],[],,0,0,0,0,0,0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 52, 56]","[71, 58, 52]",p,0,3,0,0,0,0
11.3,[],[],[],[],,0,0,0,0,0,0
11.4,[],[],[],[],,0,0,0,0,0,0
11.5,[],[],[],[],,0,0,0,0,0,0
11.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 52, 56]","[63, 60, 61]",p,0,3,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,[],[],[],[],,0,0,0,0,0,0
11.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 62, 52]","[59, 66, 58]",p,0,3,0,0,"[124, 104, 90, 76, 66, 62, 60, 62, 65]",0
12.0,[],[],[],[],,0,0,0,0,"[70, 80, 92, 106, 122, 127]",0
12.1,[],[],[],[],,0,0,0,0,0,0
12.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 62, 52]","[47, 63, 40]",p,0,3,0,0,0,0
12.3,[],[],[],[],,0,0,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,0,0
12.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[71, 61, 52]","[83, 70, 48]",mp,0,3,0,0,"[124, 104, 90, 78, 70]",0
12.6,['note_on'],[0],[55],[46],pp,0,1,0,0,"[66, 72, 76, 84, 94, 104, 120, 127]",0
12.7,[],[],[],[],,0,0,0,0,0,0
