sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,"[6, 18, 28, 36]",0
1.0,[],[],[],[],,0,0,0,0,"[46, 58, 70, 88, 127]",0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,['note_on'],[0],[59],[40],pp,0,1,0,0,0,0
2.0,[],[],[],[],,0,0,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,['note_on'],[0],[71],[65],mp,0,1,0,0,0,0
2.6,['note_on'],[0],[71],[65],mp,0,1,0,0,0,0
2.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[42, 47, 48]",pp,0,3,0,0,"[96, 72, 48, 0]",0
2.8,[],[],[],[],,0,0,0,0,"[14, 32, 74, 92, 114, 127]",0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[59, 64, 55]","[50, 34, 34]",pp,0,3,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,0,0
3.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 59, 55]","[43, 36, 36]",pp,0,3,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,[],[],[],[],,0,0,0,0,0,0
3.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[40, 43, 39]",pp,0,3,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[40, 43, 44]",pp,0,3,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 59, 64]","[39, 37, 35]",pp,0,3,0,0,0,0
4.3,[],[],[],[],,0,0,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,[],[],[],[],,0,0,0,0,0,0
4.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 72, 59, 55]","[43, 78, 40, 45]",p,0,4,0,0,"[60, 22, 0]",0
4.7,[],[],[],[],,0,0,0,0,"[20, 46, 74, 100, 127]",0
4.8,[],[],[],[],,0,0,0,0,0,0
4.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 64, 59]","[50, 45, 39]",pp,0,3,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 54, 64, 57]","[81, 46, 45, 47]",p,0,4,0,0,0,0
5.3,[],[],[],[],,0,0,0,0,2,0
5.4,[],[],[],[],,0,0,0,0,"[90, 122, 127]",0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 54, 57]","[52, 45, 43]",pp,0,3,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 54, 57]","[47, 41, 44]",pp,0,3,0,0,0,0
6.0,[],[],[],[],,0,0,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,"['note_on', 'note_on']","[0, 0]","[54, 64]","[47, 47]",pp,0,2,0,0,0,0
6.3,['note_on'],[0],[57],[44],pp,0,1,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,[],[],[],[],,0,0,0,0,0,0
6.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 63, 57]","[47, 47, 37]",pp,0,3,0,0,0,0
6.7,[],[],[],[],,0,0,0,0,"[64, 92, 120, 127]",0
6.8,[],[],[],[],,0,0,0,0,0,0
6.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 54, 57]","[52, 44, 34]",pp,0,3,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,[],[],[],[],,0,0,0,0,0,0
7.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 72, 54]","[47, 76, 44]",p,0,3,0,0,0,0
7.3,['note_on'],[0],[57],[34],ppp,0,1,0,0,"[0, 46]",0
7.4,[],[],[],[],,0,0,0,0,"[74, 104, 127]",0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 63, 57]","[44, 59, 34]",pp,0,3,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,0,0
7.9,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[53, 71, 63, 57]","[51, 81, 59, 44]",p,0,4,0,0,0,0
8.0,[],[],[],[],,0,0,0,0,"[22, 80]",0
8.1,[],[],[],[],,0,0,0,0,127,0
8.2,['note_on'],[0],[63],[61],p,0,1,0,0,0,0
8.3,"['note_on', 'note_on']","[0, 0]","[53, 57]","[52, 42]",pp,0,2,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,0,0
8.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 53, 57]","[59, 42, 42]",pp,0,3,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,[],[],[],[],,0,0,0,0,0,0
8.9,"['note_on', 'note_on']","[0, 0]","[63, 53]","[71, 47]",p,0,2,0,0,0,0
9.0,[],[],[],[],,0,0,0,0,0,0
9.1,[],[],[],[],,0,0,0,0,0,0
9.2,[],[],[],[],,0,0,0,0,"[76, 0]",0
9.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 62, 53]","[48, 60, 47]",p,0,3,0,0,0,0
9.4,[],[],[],[],,0,0,0,0,"[66, 120, 127]",0
9.5,[],[],[],[],,0,0,0,0,0,0
9.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 53, 57]","[52, 43, 50]",pp,0,3,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,0,0
9.9,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[72, 56, 62, 53]","[76, 48, 50, 47]",p,0,4,0,0,0,0
10.0,[],[],[],[],,0,0,0,0,"[24, 86, 127]",0
10.1,[],[],[],[],,0,0,0,0,0,0
10.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 56, 53]","[59, 46, 59]",p,0,3,0,0,0,0
10.3,[],[],[],[],,0,0,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,0,0
10.5,[],[],[],[],,0,0,0,0,0,0
10.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 52, 56, 62]","[84, 55, 48, 52]",p,0,4,0,0,"[74, 32, 0]",0
10.7,[],[],[],[],,0,0,0,0,"[4, 40, 72, 104, 127]",0
10.8,[],[],[],[],,0,0,0,0,0,0
10.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 52, 56]","[53, 40, 48]",pp,0,3,0,0,0,0
11.0,[],[],[],[],,0,0,0,0,0,0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 62, 56]","[44, 45, 44]",pp,0,3,0,0,0,0
11.3,[],[],[],[],,0,0,0,0,0,0
11.4,[],[],[],[],,0,0,0,0,0,0
11.5,[],[],[],[],,0,0,0,0,0,0
11.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 62, 52]","[41, 48, 47]",pp,0,3,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,[],[],[],[],,0,0,0,0,0,0
11.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 55, 52]","[51, 53, 45]",p,0,3,0,0,"[76, 0]",0
12.0,[],[],[],[],,0,0,0,0,"[36, 64, 90, 127]",0
12.1,[],[],[],[],,0,0,0,0,0,0
12.2,[],[],[],[],,0,0,0,0,0,0
12.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 62, 52]","[47, 52, 47]",pp,0,3,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,0,0
12.5,[],[],[],[],,0,0,0,0,0,0
12.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[52, 70, 61, 55]","[45, 75, 45, 43]",p,0,4,0,0,"[82, 0]",0
12.7,[],[],[],[],,0,0,0,0,"[44, 72, 100, 127]",0
12.8,[],[],[],[],,0,0,0,0,0,0
12.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[61, 52, 55]","[59, 47, 34]",pp,0,3,0,0,0,0
13.0,[],[],[],[],,0,0,0,0,0,0
13.1,[],[],[],[],,0,0,0,0,0,0
13.2,[],[],[],[],,0,0,0,0,0,0
13.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[69, 52, 55, 60]","[79, 47, 47, 48]",p,0,4,0,0,"[18, 0]",0
13.4,[],[],[],[],,0,0,0,0,"[18, 78, 106, 127]",0
13.5,[],[],[],[],,0,0,0,0,0,0
13.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 55, 52]","[44, 48, 36]",pp,0,3,0,0,0,0
