sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,"[102, 104, 106, 108, 110]",64
0.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 64, 60]","[56, 56, 53]",p,0,3,0,0,"[112, 114]",0
0.2,[],[],[],[],,0,0,0,0,"[116, 118, 120]",0
0.3,[],[],[],[],,0,0,0,0,"[122, 124, 126, 127]",0
0.4,"['note_on', 'note_on']","[0, 0]","[76, 60]","[93, 60]",mf,1,2,0,0,"[124, 112, 92, 46, 22, 4]",0
0.5,"['note_on', 'note_on']","[0, 0]","[64, 57]","[58, 57]",p,0,2,0,0,"[0, 1, 10, 22, 40, 56, 65, 76]",0
0.6,[],[],[],[],,0,0,0,0,"[84, 88, 90]",0
0.7,[],[],[],[],,0,0,0,0,"[92, 94, 96]",0
0.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 64, 57]","[54, 57, 56]",p,0,3,0,0,"[98, 100, 102, 104]",0
0.9,['note_on'],[0],[76],[77],mf,1,1,0,0,"[106, 108]",0
1.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 60, 64, 57]","[87, 72, 68, 58]",mp,0,4,0,0,"[102, 92, 76, 60, 38, 22, 10, 4, 1, 0]",0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 60]","[60, 57, 66]",p,0,3,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 72, 64]","[70, 86, 64]",mp,0,3,0,0,0,0
1.6,['note_on'],[0],[57],[63],mp,0,1,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 64, 57]","[60, 49, 54]",p,0,3,0,0,0,0
1.9,['note_on'],[0],[69],[74],mp,0,1,0,0,0,0
2.0,['note_on'],[0],[69],[91],f,1,1,0,0,0,0
2.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[62, 57, 65, 59]","[64, 55, 60, 52]",p,0,4,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[68, 64, 57, 62]","[92, 66, 56, 46]",mp,0,4,0,0,0,0
