sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 60, 57]","[21, 30, 24]",ppp,0,3,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 76, 64]","[29, 87, 30]",pp,0,3,0,0,0,0
0.5,['note_on'],[0],[60],[39],pp,0,1,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 64, 60]","[28, 33, 35]",ppp,0,3,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,['note_on'],[0],[76],[61],p,0,1,0,0,0,0
1.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 76, 57, 60]","[35, 95, 39, 41]",p,0,4,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 60, 57]","[30, 43, 39]",pp,0,3,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[60, 57, 64, 72]","[55, 37, 43, 83]",p,0,4,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 57, 64]","[30, 39, 20]",ppp,0,3,0,0,0,0
1.9,['note_on'],[0],[69],[73],mp,0,1,0,0,0,0
2.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 62, 69]","[43, 39, 89]",p,0,3,0,0,0,0
2.1,"['note_on', 'note_on']","[0, 0]","[59, 57]","[37, 28]",ppp,0,2,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[62, 57, 64, 59, 68]","[26, 37, 30, 28, 87]",pp,0,5,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,126,0
2.6,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[68, 62, 57, 64, 59]","[78, 28, 43, 35, 29]",pp,0,5,0,0,0,0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 57, 62, 59]","[35, 37, 24, 24]",ppp,0,4,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 62, 57, 59]","[51, 41, 55, 37]",pp,0,4,0,0,0,0
3.3,[],[],[],[],,0,0,0,0,0,0
3.4,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 62, 59, 57]","[39, 28, 30, 49]",pp,0,4,0,0,0,0
3.5,[],[],[],[],,0,0,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[64, 74, 62, 57, 59]","[47, 75, 39, 41, 33]",pp,0,5,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 57, 64]","[30, 51, 43]",pp,0,3,0,0,0,0
4.1,['note_on'],[0],[71],[73],mp,0,1,0,0,0,0
4.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 60, 76, 57]","[61, 51, 95, 33]",p,0,4,0,0,0,0
4.3,[],[],[],[],,0,0,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 57, 64]","[37, 41, 43]",pp,0,3,0,0,0,0
4.6,[],[],[],[],,0,0,0,0,0,0
4.7,[],[],[],[],,0,0,0,0,0,0
4.8,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 57, 60, 76]","[43, 39, 43, 85]",p,0,4,0,0,"[34, 62, 84, 102, 120, 127]",0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,"['note_on', 'note_on']","[0, 0]","[57, 60]","[29, 28]",ppp,0,2,0,0,0,0
5.1,['note_on'],[0],[64],[33],ppp,0,1,0,0,0,0
5.2,['note_on'],[0],[76],[53],p,0,1,0,0,0,0
5.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 60, 57, 76]","[39, 39, 39, 83]",p,0,4,0,0,0,0
5.4,[],[],[],[],,0,0,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[57, 77, 60, 64]","[37, 73, 30, 41]",pp,0,4,0,0,0,0
5.7,['note_on'],[0],[76],[65],mp,0,1,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[60, 64, 74, 57]","[61, 41, 79, 43]",p,0,4,0,0,0,0
6.0,['note_on'],[0],[72],[77],mf,1,1,0,0,0,0
6.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 60, 57, 71]","[43, 51, 49, 89]",p,0,4,0,0,0,0
6.2,['note_on'],[0],[69],[77],mf,1,1,0,0,0,0
6.3,[],[],[],[],,0,0,0,0,0,0
6.4,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[64, 62, 57, 69, 59]","[43, 37, 51, 49, 33]",pp,0,5,0,0,0,0
6.5,[],[],[],[],,0,0,0,0,0,0
6.6,[],[],[],[],,0,0,0,0,0,0
6.7,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[68, 62, 64, 57, 59]","[100, 35, 37, 41, 22]",pp,0,5,0,0,0,0
6.8,[],[],[],[],,0,0,0,0,0,0
6.9,[],[],[],[],,0,0,0,0,122,0
7.0,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[68, 62, 64, 57, 59]","[76, 51, 49, 49, 41]",p,0,5,0,0,0,0
7.1,[],[],[],[],,0,0,0,0,0,0
7.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[62, 64, 57, 59]","[25, 43, 35, 24]",ppp,0,4,0,0,0,0
7.3,[],[],[],[],,0,0,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[62, 64, 57, 59]","[30, 47, 35, 35]",pp,0,4,0,0,0,0
7.6,[],[],[],[],,0,0,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,0,0
7.8,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[62, 64, 57, 59]","[35, 59, 41, 28]",pp,0,4,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,0,0
8.0,"['note_on', 'note_on']","[0, 0]","[74, 64]","[67, 41]",p,0,2,0,0,0,0
8.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 57, 59]","[49, 37, 33]",pp,0,3,0,0,0,0
8.2,[],[],[],[],,0,0,0,0,0,0
8.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 64, 57]","[47, 33, 49]",pp,0,3,0,0,0,0
8.4,['note_on'],[0],[71],[63],mp,0,1,0,0,0,0
8.5,['note_on'],[0],[60],[71],mp,0,1,0,0,0,0
8.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 57, 72, 64]","[89, 61, 77, 28]",mp,0,4,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,['note_on'],[0],[57],[77],mf,1,1,0,0,0,0
8.9,['note_on'],[0],[72],[67],mp,0,1,0,0,0,0
9.0,['note_on'],[0],[69],[63],mp,0,1,0,0,0,0
9.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 72, 76]","[55, 67, 83]",mp,0,3,0,0,0,0
9.2,[],[],[],[],,0,0,0,0,0,0
9.3,[],[],[],[],,0,0,0,0,0,0
9.4,['note_on'],[0],[48],[47],pp,0,1,0,0,0,0
9.5,[],[],[],[],,0,0,0,0,0,0
9.6,[],[],[],[],,0,0,0,0,0,0
9.7,['note_on'],[0],[45],[55],p,0,1,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,0,0
9.9,"['note_on', 'note_on']","[0, 0]","[69, 72]","[61, 63]",mp,0,2,0,0,0,0
10.0,[],[],[],[],,0,0,0,0,127,0
10.1,[],[],[],[],,0,0,0,0,0,0
10.2,"['note_on', 'note_on']","[0, 0]","[74, 71]","[75, 67]",mp,0,2,0,0,0,0
10.3,[],[],[],[],,0,0,0,0,0,0
