sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,['note_on'],[0],[64],[51],p,0,1,127,0,"[52, 60, 66, 74, 80, 88, 92, 98, 104, 110]",62
0.1,[],[],[],[],,0,0,0,0,"[118, 124, 127]",0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,['note_on'],[0],[67],[54],p,0,1,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,['note_on'],[0],[72],[56],p,0,1,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,['note_on'],[0],[76],[67],mp,0,1,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,['note_on'],[0],[67],[48],pp,0,1,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,['note_on'],[0],[72],[54],p,0,1,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,['note_on'],[0],[76],[58],p,0,1,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,['note_on'],[0],[60],[49],p,0,1,0,0,"[122, 102, 80, 20, 0]",0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,['note_on'],[0],[64],[54],p,0,1,0,0,"[14, 32, 50, 64, 74, 84, 94, 98, 104]",0
1.9,[],[],[],[],,0,0,0,0,"[108, 112, 116, 118, 120, 124, 126, 127]",0
2.0,['note_on'],[0],[67],[45],pp,0,1,0,0,0,0
2.1,['note_on'],[0],[72],[59],p,0,1,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,['note_on'],[0],[76],[75],mf,0,1,0,0,0,0
2.5,['note_on'],[0],[67],[61],p,0,1,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,['note_on'],[0],[72],[61],p,0,1,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,['note_on'],[0],[76],[73],mp,0,1,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
2.9,['note_on'],[0],[60],[73],mp,0,1,0,0,"[116, 96, 44]",0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,['note_on'],[0],[62],[63],mp,0,1,0,0,0,0
