sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,['note_on'],[0],[64],[54],p,0,1,127,0,127,62
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,['note_on'],[0],[67],[68],mp,0,1,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,['note_on'],[0],[72],[62],mp,0,1,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,['note_on'],[0],[76],[64],mp,0,1,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,['note_on'],[0],[67],[59],p,0,1,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,['note_on'],[0],[72],[60],p,0,1,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,['note_on'],[0],[76],[46],pp,0,1,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,['note_on'],[0],[60],[55],p,0,1,0,0,"[122, 94, 64, 0]",0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,['note_on'],[0],[64],[50],p,0,1,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,"[58, 72, 90, 102, 110, 118, 124, 127]",0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,['note_on'],[0],[67],[60],p,0,1,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,['note_on'],[0],[72],[59],p,0,1,0,0,0,0
2.3,['note_on'],[0],[76],[68],mp,0,1,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,['note_on'],[0],[67],[52],p,0,1,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,['note_on'],[0],[72],[57],p,0,1,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,"['note_on', 'note_on']","[0, 0]","[76, 60]","[62, 54]",p,0,2,0,0,"[116, 65, 30]",0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,['note_on'],[0],[62],[52],p,0,1,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,"[6, 26, 42, 56, 65, 72, 82]",0
3.3,['note_on'],[0],[69],[55],p,0,1,0,0,"[90, 96, 100, 104, 108, 110, 114, 116, 118, 120]",0
3.4,[],[],[],[],,0,0,0,0,"[122, 126, 127]",0
3.5,[],[],[],[],,0,0,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,['note_on'],[0],[74],[64],mp,0,1,0,0,0,0
3.8,['note_on'],[0],[77],[64],mp,0,1,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,['note_on'],[0],[69],[59],p,0,1,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,['note_on'],[0],[74],[60],p,0,1,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,['note_on'],[0],[77],[62],mp,0,1,0,0,0,0
4.6,[],[],[],[],,0,0,0,0,0,0
4.7,['note_on'],[0],[60],[59],p,0,1,0,0,"[126, 110, 90, 65, 36, 0]",0
4.8,[],[],[],[],,0,0,0,0,0,0
4.9,['note_on'],[0],[62],[59],p,0,1,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,"[10, 24, 34, 42, 48, 54, 58]",0
5.1,['note_on'],[0],[69],[55],p,0,1,0,0,"[62, 65, 70, 74, 78, 82, 88, 94, 98, 104]",0
5.2,['note_on'],[0],[74],[54],p,0,1,0,0,"[110, 118, 126, 127]",0
5.3,['note_on'],[0],[77],[62],mp,0,1,0,0,0,0
5.4,[],[],[],[],,0,0,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,['note_on'],[0],[69],[55],p,0,1,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,['note_on'],[0],[74],[49],p,0,1,0,0,0,0
5.9,[],[],[],[],,0,0,0,0,0,0
6.0,[],[],[],[],,0,0,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
5.9,"['note_on', 'note_on']","[0, 0]","[77, 59]","[51, 51]",p,0,2,0,0,0,0
6.0,[],[],[],[],,0,0,0,0,"[110, 58, 24, 0]",0
6.1,['note_on'],[0],[62],[48],pp,0,1,0,0,0,0
6.3,['note_on'],[0],[67],[51],p,0,1,0,0,"[2, 20, 30, 42, 50]",0
6.4,[],[],[],[],,0,0,0,0,"[58, 64, 68, 72, 74, 78, 84, 88, 90, 94]",0
6.5,[],[],[],[],,0,0,0,0,"[96, 100]",0
6.7,[],[],[],[],,0,0,0,0,"[104, 108, 110]",0
6.7,"['note_on', 'note_on']","[0, 0]","[74, 77]","[54, 60]",p,0,2,0,0,"[114, 118, 124, 127]",0
6.9,['note_on'],[0],[67],[68],mp,0,1,0,0,0,0
7.1,['note_on'],[0],[74],[60],p,0,1,0,0,0,0
7.2,[],[],[],[],,0,0,0,0,0,0
7.3,[],[],[],[],,0,0,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,['note_on'],[0],[77],[62],mp,0,1,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,0,0
8.0,['note_on'],[0],[59],[57],p,0,1,0,0,"[114, 90, 60, 18, 0]",0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,['note_on'],[0],[62],[55],p,0,1,0,0,0,0
8.3,[],[],[],[],,0,0,0,0,"[2, 20, 54, 65, 72, 80]",0
8.4,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[67, 74, 77]","[54, 60, 64]",p,0,3,0,0,"[88, 96, 102, 108, 118, 124, 127]",0
8.5,[],[],[],[],,0,0,0,0,0,0
8.6,[],[],[],[],,0,0,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,['note_on'],[0],[67],[68],mp,0,1,0,0,0,0
8.9,[],[],[],[],,0,0,0,0,0,0
9.0,['note_on'],[0],[74],[70],mp,0,1,0,0,0,0
9.1,[],[],[],[],,0,0,0,0,0,0
9.2,[],[],[],[],,0,0,0,0,0,0
9.3,[],[],[],[],,0,0,0,0,0,0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,[],[],[],[],,0,0,0,0,0,0
9.6,['note_on'],[0],[77],[60],p,0,1,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.4,['note_on'],[0],[60],[52],p,0,1,0,0,"[116, 96, 42, 10, 0]",0
9.6,['note_on'],[0],[64],[62],mp,0,1,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,"[6, 18, 26, 32, 40]",0
9.8,['note_on'],[0],[67],[57],p,0,1,0,0,"[48, 50, 56, 60, 64, 68, 70, 74, 78]",0
9.9,[],[],[],[],,0,0,0,0,"[84, 88, 92, 96, 100, 106, 112, 120, 126, 127]",0
10.0,['note_on'],[0],[72],[65],mp,0,1,0,0,0,0
9.9,['note_on'],[0],[76],[65],mp,0,1,0,0,0,0
10.0,[],[],[],[],,0,0,0,0,0,0
10.4,['note_on'],[0],[67],[65],mp,0,1,0,0,0,0
10.5,['note_on'],[0],[72],[62],mp,0,1,0,0,0,0
10.7,['note_on'],[0],[76],[73],mp,0,1,0,0,0,0
10.9,[],[],[],[],,0,0,0,0,0,0
11.0,[],[],[],[],,0,0,0,0,0,0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,[],[],[],[],,0,0,0,0,"[126, 118, 108, 100, 92]",0
11.0,['note_on'],[0],[60],[57],p,0,1,0,0,"[82, 70, 58, 40, 18, 0]",0
11.1,['note_on'],[0],[64],[62],mp,0,1,0,0,0,0
11.2,[],[],[],[],,0,0,0,0,"[4, 20, 30, 42, 48]",0
11.3,[],[],[],[],,0,0,0,0,"[56, 62, 66, 72, 80, 84, 90, 96, 100, 104]",0
11.4,['note_on'],[0],[67],[70],mp,0,1,0,0,"[108, 114, 120, 126, 127]",0
11.5,['note_on'],[0],[72],[70],mp,0,1,0,0,0,0
11.6,[],[],[],[],,0,0,0,0,0,0
11.5,['note_on'],[0],[76],[80],mf,1,1,0,0,0,0
11.6,[],[],[],[],,0,0,0,0,0,0
12.0,['note_on'],[0],[67],[70],mp,0,1,0,0,0,0
12.1,['note_on'],[0],[72],[79],mf,1,1,0,0,0,0
12.3,['note_on'],[0],[76],[88],f,1,1,0,0,0,0
12.5,[],[],[],[],,0,0,0,0,"[126, 108, 90, 64]",0
12.6,[],[],[],[],,0,0,0,0,0,0
12.7,[],[],[],[],,0,0,0,0,0,0
12.8,[],[],[],[],,0,0,0,0,0,0
12.9,['note_on'],[0],[60],[70],mp,0,1,0,0,"[36, 0]",0
