sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,"[120, 122, 126, 127]",62
0.1,['note_on'],[0],[67],[75],mf,0,1,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,['note_on'],[0],[72],[72],mp,0,1,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,['note_on'],[0],[76],[94],f,1,1,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,['note_on'],[0],[67],[59],p,0,1,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,['note_on'],[0],[72],[63],mp,0,1,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,['note_on'],[0],[76],[68],mp,0,1,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,['note_on'],[0],[60],[70],mp,0,1,0,0,"[118, 94, 70, 48, 28, 14, 10, 16, 26, 34]",0
1.5,[],[],[],[],,0,0,0,0,"[50, 62, 74, 86, 98, 108, 118, 127]",0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,['note_on'],[0],[64],[61],p,0,1,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,['note_on'],[0],[67],[68],mp,0,1,0,0,0,0
2.0,[],[],[],[],,0,0,0,0,0,0
2.1,['note_on'],[0],[72],[67],mp,0,1,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,['note_on'],[0],[76],[92],f,1,1,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,['note_on'],[0],[67],[67],mp,0,1,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,['note_on'],[0],[72],[72],mp,0,1,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,['note_on'],[0],[76],[68],mp,0,1,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,114,0
2.9,['note_on'],[0],[60],[63],mp,0,1,0,0,"[100, 84, 65, 46, 20, 0]",0
3.0,[],[],[],[],,0,0,0,0,0,0
3.2,['note_on'],[0],[62],[65],mp,0,1,0,0,"[2, 4, 6, 10, 14]",0
3.3,['note_on'],[0],[69],[68],mp,0,1,0,0,"[20, 26, 30, 38, 44, 48, 54, 60, 65, 72]",0
3.4,[],[],[],[],,0,0,0,0,"[76, 82, 88, 94, 98, 102, 106, 110, 112, 118, 120]",0
3.5,[],[],[],[],,0,0,0,0,122,0
3.7,['note_on'],[0],[74],[72],mp,0,1,0,0,"[124, 126, 127]",0
3.8,['note_on'],[0],[77],[87],mf,1,1,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,['note_on'],[0],[69],[70],mp,0,1,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,['note_on'],[0],[74],[67],mp,0,1,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,['note_on'],[0],[77],[77],mf,0,1,0,0,0,0
4.6,[],[],[],[],,0,0,0,0,0,0
4.7,['note_on'],[0],[60],[63],mp,0,1,0,0,0,0
4.8,[],[],[],[],,0,0,0,0,0,0
4.9,['note_on'],[0],[62],[53],p,0,1,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,['note_on'],[0],[69],[67],mp,0,1,0,0,0,0
5.2,['note_on'],[0],[74],[63],mp,0,1,0,0,0,0
5.3,['note_on'],[0],[77],[79],mf,0,1,0,0,0,0
