sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 81, 69]","[86, 88, 84]",mf,1,3,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[53, 65, 77]","[92, 97, 96]",f,1,3,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,2,0
1.5,[],[],[],[],,0,0,0,0,"[54, 65, 70, 66, 62, 56]",0
1.6,[],[],[],[],,0,0,0,0,"[50, 46, 44, 46, 48, 50, 52]",0
1.7,[],[],[],[],,0,0,0,0,"[50, 46]",0
1.8,[],[],[],[],,0,0,0,0,"[40, 36, 28, 20, 16, 12, 16, 18, 20]",0
1.9,[],[],[],[],,0,0,0,0,"[26, 20, 14, 6, 0]",0
2.0,"['note_on', 'note_on']","[0, 0]","[53, 65]","[69, 84]",mf,1,2,0,0,0,0
2.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 52, 62, 50]","[62, 62, 69, 72]",mp,0,4,0,0,0,0
2.2,"['note_on', 'note_on']","[0, 0]","[48, 60]","[40, 63]",p,0,2,0,0,0,0
2.3,['note_on'],[0],[47],[90],f,1,1,0,0,0,0
2.4,['note_on'],[0],[59],[83],mf,1,1,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 81, 69]","[92, 95, 94]",f,1,3,0,0,0,0
3.3,[],[],[],[],,0,0,0,0,"[2, 8, 14, 16]",0
3.4,[],[],[],[],,0,0,0,0,"[10, 4, 0]",0
3.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 68, 80]","[96, 100, 99]",f,1,3,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,"[18, 48, 65]",0
3.7,[],[],[],[],,0,0,0,0,"[80, 94, 104, 108, 110]",0
3.8,[],[],[],[],,0,0,0,0,"[108, 104, 100, 94, 84]",0
3.9,[],[],[],[],,0,0,0,0,"[72, 56, 36, 0]",0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,[],[],[],[],,0,0,0,0,0,0
4.4,"['note_on', 'note_on']","[0, 0]","[52, 64]","[73, 67]",mp,0,2,0,0,0,0
4.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[50, 62, 49, 61]","[67, 70, 40, 66]",p,0,4,0,0,0,0
4.6,"['note_on', 'note_on']","[0, 0]","[47, 59]","[41, 55]",pp,0,2,0,0,0,0
4.7,"['note_on', 'note_on']","[0, 0]","[57, 45]","[77, 79]",mf,1,2,0,0,0,0
4.8,[],[],[],[],,0,0,0,0,0,0
4.9,[],[],[],[],,0,0,0,0,"[4, 44, 56, 65, 72, 76, 80, 84, 86]",0
5.0,[],[],[],[],,0,0,0,0,"[88, 90, 92, 94, 96, 98, 102, 104]",0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,[],[],[],[],,0,0,0,0,"[100, 92, 80, 64, 42, 16, 0]",0
5.3,[],[],[],[],,0,0,0,0,0,0
5.4,[],[],[],[],,0,0,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 88, 76]","[90, 100, 98]",f,1,3,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[72, 59, 84]","[96, 97, 100]",f,1,3,0,0,0,0
6.0,['note_on'],[0],[74],[76],mf,1,1,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
6.3,[],[],[],[],,0,0,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[69, 81, 56]","[97, 97, 99]",f,1,3,0,0,0,0
6.6,[],[],[],[],,0,0,0,0,0,0
6.7,[],[],[],[],,0,0,0,0,0,0
6.8,[],[],[],[],,0,0,0,0,0,0
6.9,[],[],[],[],,0,0,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 76, 64]","[97, 97, 98]",f,1,3,0,0,0,0
7.2,[],[],[],[],,0,0,0,0,0,0
7.3,[],[],[],[],,0,0,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,[],[],[],[],,0,0,0,0,0,0
7.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[50, 74, 62]","[97, 88, 93]",f,1,3,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,0,0
8.0,[],[],[],[],,0,0,0,0,0,0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,[],[],[],[],,0,0,0,0,0,0
8.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[48, 72, 60]","[96, 95, 95]",f,1,3,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,0,0
8.6,[],[],[],[],,0,0,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,[],[],[],[],,0,0,0,0,0,0
8.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[45, 57, 69]","[97, 94, 86]",f,1,3,0,0,0,0
9.0,[],[],[],[],,0,0,0,0,0,0
9.1,[],[],[],[],,0,0,0,0,0,0
9.2,[],[],[],[],,0,0,0,0,0,0
9.3,[],[],[],[],,0,0,0,0,0,0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[40, 64, 52]","[97, 77, 84]",mf,1,3,0,0,0,0
9.6,"['note_on', 'note_on']","[0, 0]","[53, 62]","[40, 43]",pp,0,2,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,0,0
9.9,[],[],[],[],,0,0,0,0,0,0
10.0,[],[],[],[],,0,0,0,0,0,0
10.1,[],[],[],[],,0,0,0,0,0,0
10.2,[],[],[],[],,0,0,0,0,0,0
10.3,[],[],[],[],,0,0,0,0,0,0
10.4,['note_on'],[0],[55],[72],mp,0,1,0,0,0,0
10.5,"['note_on', 'note_on']","[0, 0]","[45, 59]","[63, 77]",mp,0,2,0,0,0,0
10.6,"['note_on', 'note_on']","[0, 0]","[48, 62]","[51, 56]",p,0,2,0,0,0,0
10.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 57, 67]","[58, 94, 93]",mf,1,3,0,0,"[1, 26, 48, 65, 80]",0
10.8,['note_on'],[0],[64],[33],ppp,0,1,0,0,"[90, 96, 100, 104, 108, 112, 114, 118, 120]",0
10.9,[],[],[],[],,0,0,0,0,"[124, 127]",0
11.0,['note_on'],[0],[69],[96],f,1,1,0,0,0,0
11.1,[],[],[],[],,0,0,0,0,"[122, 106, 90, 66, 42, 14, 0]",0
11.2,[],[],[],[],,0,0,0,0,0,0
11.3,['note_on'],[0],[71],[99],f,1,1,0,0,0,0
11.4,[],[],[],[],,0,0,0,0,0,0
11.5,[],[],[],[],,0,0,0,0,0,0
11.6,['note_on'],[0],[72],[99],f,1,1,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,[],[],[],[],,0,0,0,0,0,0
11.9,['note_on'],[0],[74],[100],f,1,1,0,0,0,0
12.0,[],[],[],[],,0,0,0,0,0,0
12.1,['note_on'],[0],[76],[96],f,1,1,0,0,0,0
12.2,[],[],[],[],,0,0,0,0,0,0
12.3,[],[],[],[],,0,0,0,0,0,0
12.4,['note_on'],[0],[78],[97],f,1,1,0,0,0,0
12.5,[],[],[],[],,0,0,0,0,0,0
12.6,[],[],[],[],,0,0,0,0,0,0
12.7,['note_on'],[0],[79],[70],mp,0,1,0,0,0,0
12.8,[],[],[],[],,0,0,0,0,0,0
12.9,[],[],[],[],,0,0,0,0,0,0
13.0,['note_on'],[0],[76],[97],f,1,1,0,0,0,0
13.1,[],[],[],[],,0,0,0,0,0,0
13.2,[],[],[],[],,0,0,0,0,0,0
13.3,"['note_on', 'note_on']","[0, 0]","[52, 67]","[86, 76]",mf,1,2,0,0,0,0
13.4,[],[],[],[],,0,0,0,0,0,0
13.5,[],[],[],[],,0,0,0,0,0,0
13.6,"['note_on', 'note_on']","[0, 0]","[69, 53]","[76, 84]",mf,1,2,0,0,0,0
13.7,[],[],[],[],,0,0,0,0,0,0
13.8,[],[],[],[],,0,0,0,0,0,0
13.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 71, 74]","[73, 65, 60]",mp,0,3,0,0,0,0
14.0,[],[],[],[],,0,0,0,0,0,0
14.1,[],[],[],[],,0,0,0,0,0,0
14.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 72, 64]","[79, 94, 92]",f,1,3,0,0,0,0
14.3,[],[],[],[],,0,0,0,0,0,0
14.4,[],[],[],[],,0,0,0,0,0,0
14.5,['note_on'],[0],[45],[93],f,1,1,0,0,0,0
14.6,[],[],[],[],,0,0,0,0,0,0
14.7,[],[],[],[],,0,0,0,0,0,0
14.8,['note_on'],[0],[48],[94],f,1,1,0,0,0,0
14.9,[],[],[],[],,0,0,0,0,0,0
