sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,30,0
0.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 69, 81]","[81, 95, 91]",f,1,3,0,0,"[54, 70, 84, 96, 108, 124, 127]",0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[76, 52, 64]","[95, 85, 91]",f,1,3,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,"['note_on', 'note_on']","[0, 0]","[64, 52]","[60, 73]",mp,0,2,0,0,0,0
2.1,"['note_on', 'note_on']","[0, 0]","[50, 62]","[54, 64]",p,0,2,0,0,"[126, 114, 104, 92, 86]",0
2.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[61, 49, 47, 59]","[68, 48, 60, 63]",p,0,4,0,0,"[78, 70, 64, 56, 40, 0]",0
2.3,"['note_on', 'note_on']","[0, 0]","[45, 57]","[82, 77]",mf,1,2,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[81, 69, 57]","[94, 91, 81]",f,1,3,0,0,"[52, 72, 90, 104, 118, 127]",0
3.3,[],[],[],[],,0,0,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 66, 78]","[92, 100, 100]",f,1,3,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,['note_on'],[0],[54],[60],p,0,1,0,0,0,0
4.4,"['note_on', 'note_on']","[0, 0]","[66, 64]","[61, 47]",p,0,2,0,0,0,0
4.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 62, 49]","[50, 60, 47]",p,0,3,0,0,"[120, 58, 30, 4, 0]",0
4.6,"['note_on', 'note_on']","[0, 0]","[50, 61]","[34, 77]",p,0,2,0,0,0,0
4.7,"['note_on', 'note_on']","[0, 0]","[47, 59]","[84, 72]",mf,1,2,0,0,0,0
4.8,[],[],[],[],,0,0,0,0,0,0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,[],[],[],[],,0,0,0,0,0,0
5.3,[],[],[],[],,0,0,0,0,0,0
5.4,[],[],[],[],,0,0,0,0,"[1, 28, 50]",0
5.5,[],[],[],[],,0,0,0,0,"[88, 102, 114, 127]",0
5.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 86, 74]","[90, 99, 94]",f,1,3,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[59, 71, 83]","[91, 98, 98]",f,1,3,0,0,0,0
6.0,[],[],[],[],,0,0,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
6.3,[],[],[],[],,0,0,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 80, 68]","[92, 96, 100]",f,1,3,0,0,0,0
6.6,[],[],[],[],,0,0,0,0,0,0
6.7,[],[],[],[],,0,0,0,0,0,0
6.8,[],[],[],[],,0,0,0,0,0,0
6.9,[],[],[],[],,0,0,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[52, 76, 64, 65]","[90, 98, 78, 72]",mf,1,4,0,0,0,0
7.2,[],[],[],[],,0,0,0,0,0,0
7.3,[],[],[],[],,0,0,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,[],[],[],[],,0,0,0,0,0,0
7.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[74, 50, 62]","[98, 95, 95]",f,1,3,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,0,0
8.0,[],[],[],[],,0,0,0,0,0,0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,[],[],[],[],,0,0,0,0,0,0
8.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[47, 59, 71]","[85, 91, 91]",f,1,3,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,0,0
8.6,[],[],[],[],,0,0,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,[],[],[],[],,0,0,0,0,0,0
8.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 68, 44]","[94, 85, 90]",f,1,3,0,0,0,0
9.0,[],[],[],[],,0,0,0,0,0,0
9.1,[],[],[],[],,0,0,0,0,0,0
9.2,[],[],[],[],,0,0,0,0,0,0
9.3,[],[],[],[],,0,0,0,0,0,0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[40, 64, 52]","[85, 88, 81]",mf,1,3,0,0,0,0
9.6,[],[],[],[],,0,0,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,0,0
9.9,[],[],[],[],,0,0,0,0,0,0
10.0,[],[],[],[],,0,0,0,0,0,0
10.1,[],[],[],[],,0,0,0,0,0,0
10.2,[],[],[],[],,0,0,0,0,"[120, 0]",0
10.3,[],[],[],[],,0,0,0,0,0,0
10.4,['note_on'],[0],[57],[63],mp,0,1,0,0,0,0
10.5,"['note_on', 'note_on']","[0, 0]","[61, 45]","[55, 50]",p,0,2,0,0,0,0
10.6,"['note_on', 'note_on']","[0, 0]","[64, 49]","[66, 77]",mp,0,2,0,0,0,0
10.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 69, 57]","[60, 85, 88]",mf,1,3,0,0,0,0
10.8,[],[],[],[],,0,0,0,0,"[6, 58, 74, 90, 98, 106]",0
10.9,[],[],[],[],,0,0,0,0,"[112, 118, 124, 127]",0
11.0,['note_on'],[0],[71],[90],f,1,1,0,0,0,0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,[],[],[],[],,0,0,0,0,0,0
11.3,['note_on'],[0],[73],[96],f,1,1,0,0,0,0
11.4,[],[],[],[],,0,0,0,0,0,0
11.5,[],[],[],[],,0,0,0,0,0,0
11.6,['note_on'],[0],[74],[77],mf,1,1,0,0,"[126, 124]",0
11.7,[],[],[],[],,0,0,0,0,"[122, 120, 118]",0
11.8,[],[],[],[],,0,0,0,0,"[116, 114]",0
11.9,['note_on'],[0],[76],[81],mf,1,1,0,0,112,0
12.0,[],[],[],[],,0,0,0,0,0,0
12.1,[],[],[],[],,0,0,0,0,0,0
12.2,['note_on'],[0],[78],[94],f,1,1,0,0,"[114, 116]",0
12.3,[],[],[],[],,0,0,0,0,"[118, 120]",0
12.4,[],[],[],[],,0,0,0,0,"[122, 124, 126, 127]",0
12.5,['note_on'],[0],[80],[100],f,1,1,0,0,0,0
12.6,[],[],[],[],,0,0,0,0,0,0
12.7,[],[],[],[],,0,0,0,0,0,0
12.8,['note_on'],[0],[81],[78],mf,1,1,0,0,0,0
12.9,[],[],[],[],,0,0,0,0,0,0
13.0,[],[],[],[],,0,0,0,0,0,0
13.1,['note_on'],[0],[76],[85],mf,1,1,0,0,"[126, 102, 76, 12]",0
13.2,[],[],[],[],,0,0,0,0,0,0
13.3,[],[],[],[],,0,0,0,0,0,0
13.4,"['note_on', 'note_on']","[0, 0]","[52, 68]","[66, 73]",mp,0,2,0,0,0,0
13.5,[],[],[],[],,0,0,0,0,0,0
13.6,[],[],[],[],,0,0,0,0,0,0
13.7,['note_on'],[0],[69],[60],p,0,1,0,0,0,0
13.8,['note_on'],[0],[54],[51],p,0,1,0,0,0,0
13.9,[],[],[],[],,0,0,0,0,0,0
14.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[74, 71, 56]","[66, 66, 66]",mp,0,3,0,0,0,0
14.1,[],[],[],[],,0,0,0,0,0,0
14.2,[],[],[],[],,0,0,0,0,0,0
14.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[73, 57, 64]","[90, 69, 75]",mf,1,3,0,0,0,0
14.4,[],[],[],[],,0,0,0,0,0,0
14.5,[],[],[],[],,0,0,0,0,0,0
14.6,['note_on'],[0],[45],[72],mp,0,1,0,0,0,0
14.7,[],[],[],[],,0,0,0,0,0,0
14.8,[],[],[],[],,0,0,0,0,0,0
14.9,['note_on'],[0],[49],[96],f,1,1,0,0,0,0
15.0,[],[],[],[],,0,0,0,0,"[96, 124, 127]",0
15.1,[],[],[],[],,0,0,0,0,0,0
15.2,['note_on'],[0],[50],[82],mf,1,1,0,0,0,0
15.3,[],[],[],[],,0,0,0,0,0,0
15.4,[],[],[],[],,0,0,0,0,0,0
