sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,[],[],[],[],,0,0,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,['note_on'],[0],[70],[56],p,0,1,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,0,0
3.3,[],[],[],[],,0,0,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,"['note_on', 'note_on']","[0, 0]","[39, 79]","[56, 61]",p,0,2,0,0,"[20, 56]",0
3.6,[],[],[],[],,0,0,0,0,"[70, 82, 96, 106, 116, 126, 127]",0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,"['note_on', 'note_on']","[0, 0]","[63, 55]","[48, 47]",pp,0,2,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,[],[],[],[],,0,0,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,[],[],[],[],,0,0,0,0,0,0
4.6,[],[],[],[],,0,0,0,0,0,0
4.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 67, 58]","[51, 54, 53]",p,0,3,0,0,0,0
4.8,[],[],[],[],,0,0,0,0,0,0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,[],[],[],[],,0,0,0,0,"[126, 114, 100, 82, 62, 34]",0
5.3,['note_on'],[0],[51],[54],p,0,1,0,0,"[4, 0]",0
5.4,[],[],[],[],,0,0,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,"[72, 100, 126, 127]",0
5.6,[],[],[],[],,0,0,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 56, 77]","[51, 52, 69]",p,0,3,0,0,0,0
6.0,[],[],[],[],,0,0,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
6.3,[],[],[],[],,0,0,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,"['note_on', 'note_on']","[0, 0]","[68, 59]","[57, 55]",p,0,2,0,0,0,0
6.6,['note_on'],[0],[79],[75],mf,0,1,0,0,0,0
6.7,[],[],[],[],,0,0,0,0,0,0
6.8,[],[],[],[],,0,0,0,0,0,0
6.9,[],[],[],[],,0,0,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,"[122, 102, 80]",0
7.1,[],[],[],[],,0,0,0,0,0,0
7.2,['note_on'],[0],[77],[62],mp,0,1,0,0,0,0
7.3,['note_on'],[0],[39],[62],mp,0,1,0,0,"[88, 110, 127]",0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,[],[],[],[],,0,0,0,0,0,0
7.7,['note_on'],[0],[63],[53],p,0,1,0,0,0,0
7.8,['note_on'],[0],[55],[47],pp,0,1,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,0,0
8.0,[],[],[],[],,0,0,0,0,0,0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,[],[],[],[],,0,0,0,0,0,0
8.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[67, 63, 58]","[55, 51, 52]",p,0,3,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,0,0
8.6,[],[],[],[],,0,0,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,[],[],[],[],,0,0,0,0,"[126, 102]",0
8.9,"['note_on', 'note_on']","[0, 0]","[38, 75]","[60, 57]",p,0,2,0,0,"[76, 14, 0]",0
9.0,[],[],[],[],,0,0,0,0,"[8, 66, 94]",0
9.1,[],[],[],[],,0,0,0,0,"[120, 127]",0
9.2,[],[],[],[],,0,0,0,0,0,0
9.3,[],[],[],[],,0,0,0,0,0,0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,"['note_on', 'note_on']","[0, 0]","[63, 55]","[50, 49]",p,0,2,0,0,0,0
9.6,[],[],[],[],,0,0,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,0,0
9.9,[],[],[],[],,0,0,0,0,0,0
10.0,[],[],[],[],,0,0,0,0,0,0
10.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[67, 63, 70, 58]","[51, 48, 60, 44]",p,0,4,0,0,0,0
10.2,[],[],[],[],,0,0,0,0,0,0
10.3,[],[],[],[],,0,0,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,0,0
10.5,[],[],[],[],,0,0,0,0,0,0
10.6,[],[],[],[],,0,0,0,0,"[120, 88, 46]",0
10.7,"['note_on', 'note_on']","[0, 0]","[36, 79]","[61, 64]",mp,0,2,0,0,0,0
10.8,[],[],[],[],,0,0,0,0,82,0
10.9,[],[],[],[],,0,0,0,0,"[108, 127]",0
11.0,[],[],[],[],,0,0,0,0,0,0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,[],[],[],[],,0,0,0,0,0,0
11.3,['note_on'],[0],[64],[57],p,0,1,0,0,0,0
11.4,['note_on'],[0],[55],[50],p,0,1,0,0,0,0
11.5,[],[],[],[],,0,0,0,0,0,0
11.6,[],[],[],[],,0,0,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,"['note_on', 'note_on']","[0, 0]","[67, 58]","[58, 52]",p,0,2,0,0,0,0
11.9,"['note_on', 'note_on']","[0, 0]","[64, 72]","[53, 62]",p,0,2,0,0,0,0
12.0,['note_on'],[0],[73],[75],mf,0,1,0,0,0,0
12.1,['note_on'],[0],[72],[63],mp,0,1,0,0,0,0
12.2,['note_on'],[0],[71],[72],mp,0,1,0,0,0,0
12.3,['note_on'],[0],[72],[66],mp,0,1,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,0,0
12.5,"['note_on', 'note_on']","[0, 0]","[48, 84]","[59, 77]",mp,0,2,0,0,"[94, 60, 0]",0
12.6,[],[],[],[],,0,0,0,0,0,0
12.7,[],[],[],[],,0,0,0,0,"[20, 74, 98, 120, 127]",0
12.8,[],[],[],[],,0,0,0,0,0,0
12.9,[],[],[],[],,0,0,0,0,0,0
13.0,[],[],[],[],,0,0,0,0,0,0
13.1,"['note_on', 'note_on']","[0, 0]","[64, 55]","[58, 58]",p,0,2,0,0,0,0
13.2,[],[],[],[],,0,0,0,0,0,0
13.3,[],[],[],[],,0,0,0,0,0,0
13.4,[],[],[],[],,0,0,0,0,0,0
13.5,[],[],[],[],,0,0,0,0,0,0
13.6,[],[],[],[],,0,0,0,0,0,0
13.7,['note_on'],[0],[79],[79],mf,1,1,0,0,0,0
13.8,"['note_on', 'note_on']","[0, 0]","[60, 64]","[55, 49]",p,0,2,0,0,0,0
13.9,[],[],[],[],,0,0,0,0,0,0
14.0,[],[],[],[],,0,0,0,0,0,0
14.1,[],[],[],[],,0,0,0,0,0,0
14.2,[],[],[],[],,0,0,0,0,0,0
14.3,"['note_on', 'note_on']","[0, 0]","[82, 41]","[77, 64]",mp,0,2,0,0,"[94, 0]",0
14.4,[],[],[],[],,0,0,0,0,"[48, 72]",0
14.5,[],[],[],[],,0,0,0,0,"[94, 118, 127]",0
14.6,[],[],[],[],,0,0,0,0,0,0
14.7,[],[],[],[],,0,0,0,0,0,0
14.8,[],[],[],[],,0,0,0,0,0,0
14.9,"['note_on', 'note_on']","[0, 0]","[53, 61]","[55, 54]",p,0,2,0,0,0,0
15.0,[],[],[],[],,0,0,0,0,0,0
15.1,[],[],[],[],,0,0,0,0,0,0
15.2,[],[],[],[],,0,0,0,0,0,0
15.3,[],[],[],[],,0,0,0,0,0,0
15.4,[],[],[],[],,0,0,0,0,0,0
15.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[58, 64, 61]","[53, 56, 50]",p,0,3,0,0,0,0
15.6,[],[],[],[],,0,0,0,0,0,0
15.7,[],[],[],[],,0,0,0,0,0,0
15.8,[],[],[],[],,0,0,0,0,0,0
15.9,[],[],[],[],,0,0,0,0,0,0
16.0,[],[],[],[],,0,0,0,0,"[120, 110, 100, 88, 72]",0
16.1,"['note_on', 'note_on']","[0, 0]","[41, 80]","[57, 65]",p,0,2,0,0,"[54, 30, 2, 0]",0
16.2,[],[],[],[],,0,0,0,0,0,0
16.3,[],[],[],[],,0,0,0,0,"[28, 60, 84, 108, 127]",0
16.4,[],[],[],[],,0,0,0,0,0,0
16.5,[],[],[],[],,0,0,0,0,0,0
16.6,[],[],[],[],,0,0,0,0,0,0
16.7,"['note_on', 'note_on']","[0, 0]","[53, 60]","[51, 53]",p,0,2,0,0,0,0
16.8,[],[],[],[],,0,0,0,0,0,0
