sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,[],[],[],[],,0,0,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,['note_on'],[0],[70],[59],p,0,1,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,0,0
3.3,[],[],[],[],,0,0,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,"['note_on', 'note_on']","[0, 0]","[79, 39]","[53, 39]",pp,0,2,0,0,4,0
3.6,[],[],[],[],,0,0,0,0,"[22, 38, 54, 66, 78, 92, 102, 112, 120, 126]",0
3.7,[],[],[],[],,0,0,0,0,127,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,['note_on'],[0],[63],[29],ppp,0,1,0,0,0,0
4.2,['note_on'],[0],[55],[26],ppp,0,1,0,0,0,0
4.3,[],[],[],[],,0,0,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,[],[],[],[],,0,0,0,0,0,0
4.6,[],[],[],[],,0,0,0,0,0,0
4.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[67, 63, 58]","[33, 29, 32]",ppp,0,3,0,0,0,0
4.8,[],[],[],[],,0,0,0,0,0,0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,[],[],[],[],,0,0,0,0,"[122, 108, 92, 76, 56, 34]",0
5.3,['note_on'],[0],[51],[36],pp,0,1,0,0,0,0
5.4,[],[],[],[],,0,0,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,"[64, 86, 108, 126, 127]",0
5.6,[],[],[],[],,0,0,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 56, 77]","[31, 31, 54]",pp,0,3,0,0,0,0
6.0,[],[],[],[],,0,0,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
6.3,[],[],[],[],,0,0,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,"['note_on', 'note_on']","[0, 0]","[68, 79]","[27, 70]",pp,0,2,0,0,0,0
6.6,['note_on'],[0],[59],[32],ppp,0,1,0,0,0,0
6.7,[],[],[],[],,0,0,0,0,0,0
6.8,[],[],[],[],,0,0,0,0,0,0
6.9,[],[],[],[],,0,0,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,['note_on'],[0],[77],[67],mp,0,1,0,0,"[110, 10, 0]",0
7.2,['note_on'],[0],[39],[42],pp,0,1,0,0,0,0
7.3,[],[],[],[],,0,0,0,0,"[26, 88, 127]",0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,[],[],[],[],,0,0,0,0,0,0
7.7,"['note_on', 'note_on']","[0, 0]","[63, 55]","[30, 30]",ppp,0,2,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,0,0
8.0,[],[],[],[],,0,0,0,0,0,0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,[],[],[],[],,0,0,0,0,0,0
8.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[67, 63, 58]","[36, 30, 34]",ppp,0,3,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,0,0
8.6,[],[],[],[],,0,0,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,[],[],[],[],,0,0,0,0,0,0
8.9,"['note_on', 'note_on']","[0, 0]","[38, 75]","[46, 57]",p,0,2,0,0,"[2, 0]",0
9.0,[],[],[],[],,0,0,0,0,"[68, 94, 118]",0
9.1,[],[],[],[],,0,0,0,0,127,0
9.2,[],[],[],[],,0,0,0,0,0,0
9.3,[],[],[],[],,0,0,0,0,0,0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,"['note_on', 'note_on']","[0, 0]","[55, 63]","[35, 30]",ppp,0,2,0,0,0,0
9.6,[],[],[],[],,0,0,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,0,0
9.9,[],[],[],[],,0,0,0,0,0,0
10.0,[],[],[],[],,0,0,0,0,0,0
10.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 70, 58]","[27, 67, 23]",pp,0,3,0,0,0,0
10.2,[],[],[],[],,0,0,0,0,0,0
10.3,[],[],[],[],,0,0,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,0,0
10.5,[],[],[],[],,0,0,0,0,0,0
10.6,[],[],[],[],,0,0,0,0,108,0
10.7,"['note_on', 'note_on']","[0, 0]","[36, 79]","[42, 68]",p,0,2,0,0,0,0
10.8,[],[],[],[],,0,0,0,0,66,0
10.9,[],[],[],[],,0,0,0,0,"[96, 120, 127]",0
11.0,[],[],[],[],,0,0,0,0,0,0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,[],[],[],[],,0,0,0,0,0,0
11.3,[],[],[],[],,0,0,0,0,0,0
11.4,['note_on'],[0],[64],[44],pp,0,1,0,0,0,0
11.5,[],[],[],[],,0,0,0,0,0,0
11.6,[],[],[],[],,0,0,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,[],[],[],[],,0,0,0,0,0,0
11.9,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[67, 58, 64, 72]","[33, 31, 27, 48]",ppp,0,4,0,0,0,0
12.0,['note_on'],[0],[73],[53],p,0,1,0,0,0,0
12.1,['note_on'],[0],[72],[34],ppp,0,1,0,0,0,0
12.2,['note_on'],[0],[71],[51],p,0,1,0,0,0,0
12.3,['note_on'],[0],[72],[46],pp,0,1,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,110,0
12.5,"['note_on', 'note_on']","[0, 0]","[48, 84]","[41, 74]",p,0,2,0,0,0,0
12.6,[],[],[],[],,0,0,0,0,"[1, 32, 62, 88, 112, 127]",0
12.7,[],[],[],[],,0,0,0,0,0,0
12.8,[],[],[],[],,0,0,0,0,0,0
12.9,[],[],[],[],,0,0,0,0,0,0
13.0,[],[],[],[],,0,0,0,0,0,0
13.1,"['note_on', 'note_on']","[0, 0]","[64, 55]","[30, 28]",ppp,0,2,0,0,0,0
13.2,[],[],[],[],,0,0,0,0,0,0
13.3,[],[],[],[],,0,0,0,0,0,0
13.4,[],[],[],[],,0,0,0,0,0,0
13.5,[],[],[],[],,0,0,0,0,0,0
13.6,[],[],[],[],,0,0,0,0,0,0
13.7,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[79, 70, 60, 64]","[67, 31, 31, 19]",pp,0,4,0,0,0,0
13.8,[],[],[],[],,0,0,0,0,0,0
13.9,[],[],[],[],,0,0,0,0,0,0
14.0,[],[],[],[],,0,0,0,0,0,0
14.1,[],[],[],[],,0,0,0,0,126,0
14.2,[],[],[],[],,0,0,0,0,"[114, 102, 88, 64, 0]",0
14.3,"['note_on', 'note_on']","[0, 0]","[41, 82]","[46, 67]",p,0,2,0,0,0,0
14.4,[],[],[],[],,0,0,0,0,"[88, 108, 124, 127]",0
14.5,[],[],[],[],,0,0,0,0,0,0
14.6,[],[],[],[],,0,0,0,0,0,0
14.7,[],[],[],[],,0,0,0,0,0,0
14.8,['note_on'],[0],[61],[30],ppp,0,1,0,0,0,0
14.9,['note_on'],[0],[53],[34],ppp,0,1,0,0,0,0
15.0,[],[],[],[],,0,0,0,0,0,0
15.1,[],[],[],[],,0,0,0,0,0,0
15.2,[],[],[],[],,0,0,0,0,0,0
15.3,[],[],[],[],,0,0,0,0,0,0
15.4,[],[],[],[],,0,0,0,0,0,0
15.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 58, 61]","[33, 33, 28]",ppp,0,3,0,0,0,0
15.6,[],[],[],[],,0,0,0,0,0,0
15.7,[],[],[],[],,0,0,0,0,0,0
15.8,[],[],[],[],,0,0,0,0,0,0
15.9,[],[],[],[],,0,0,0,0,0,0
16.0,[],[],[],[],,0,0,0,0,"[110, 88, 0]",0
16.1,"['note_on', 'note_on']","[0, 0]","[41, 80]","[36, 61]",pp,0,2,0,0,0,0
16.2,[],[],[],[],,0,0,0,0,"[66, 114, 127]",0
16.3,[],[],[],[],,0,0,0,0,0,0
16.4,[],[],[],[],,0,0,0,0,0,0
16.5,[],[],[],[],,0,0,0,0,0,0
16.6,[],[],[],[],,0,0,0,0,0,0
16.7,"['note_on', 'note_on']","[0, 0]","[53, 60]","[35, 38]",pp,0,2,0,0,0,0
16.8,[],[],[],[],,0,0,0,0,0,0
16.9,[],[],[],[],,0,0,0,0,0,0
17.0,[],[],[],[],,0,0,0,0,0,0
