sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,['note_on'],[0],[59],[81],mf,1,1,0,0,4,0
1.9,[],[],[],[],,0,0,0,0,"[28, 56, 72, 88, 98, 106, 114, 118]",0
2.0,[],[],[],[],,0,0,0,0,"[120, 124, 126, 127]",0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,['note_on'],[0],[71],[86],mf,1,1,0,0,"[110, 62, 0]",0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 64, 55, 59]","[100, 66, 66, 62]",mp,0,4,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,"[54, 72, 90, 104, 114, 120, 126, 127]",0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[63, 66, 62]",mp,0,3,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 59, 55]","[71, 71, 65]",mp,0,3,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,0,0
3.3,[],[],[],[],,0,0,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[59, 64, 55]","[59, 71, 63]",mp,0,3,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[63, 53, 59]",p,0,3,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 59, 55]","[67, 56, 59]",p,0,3,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,[],[],[],[],,0,0,0,0,0,0
4.4,"['note_on', 'note_on']","[0, 0]","[64, 55]","[55, 59]",p,0,2,0,0,0,0
4.5,"['note_on', 'note_on']","[0, 0]","[59, 72]","[59, 100]",mf,1,2,0,0,0,0
4.6,[],[],[],[],,0,0,0,0,0,0
4.7,['note_on'],[0],[64],[59],p,0,1,0,0,0,0
4.8,"['note_on', 'note_on']","[0, 0]","[59, 55]","[51, 48]",p,0,2,0,0,0,0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,"[124, 108, 88, 18, 0]",0
5.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[54, 64, 71, 57]","[61, 62, 99, 62]",mp,0,4,0,0,0,0
5.2,[],[],[],[],,0,0,0,0,"[6, 56, 72, 84, 94]",0
5.3,[],[],[],[],,0,0,0,0,"[98, 102, 104]",0
5.4,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 54]","[62, 45, 59]",p,0,3,0,0,"[106, 108, 110, 114, 120]",0
5.5,[],[],[],[],,0,0,0,0,"[126, 127]",0
5.6,[],[],[],[],,0,0,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 54, 57]","[77, 65, 62]",mp,0,3,0,0,0,0
5.9,[],[],[],[],,0,0,0,0,0,0
6.0,[],[],[],[],,0,0,0,0,0,0
6.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 64, 57]","[65, 73, 59]",mp,0,3,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
6.3,[],[],[],[],,0,0,0,0,"[124, 108]",0
6.4,"['note_on', 'note_on']","[0, 0]","[63, 57]","[86, 65]",mf,0,2,0,0,"[58, 0]",0
6.5,['note_on'],[0],[53],[62],mp,0,1,0,0,"[6, 22]",0
6.6,[],[],[],[],,0,0,0,0,"[36, 48, 60, 66, 72, 76, 80, 82, 84]",0
6.7,[],[],[],[],,0,0,0,0,"[88, 90, 92, 94, 98, 102, 104, 108]",0
6.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 53, 57]","[68, 53, 55]",p,0,3,0,0,"[110, 116, 120, 122, 126, 127]",0
6.9,[],[],[],[],,0,0,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[63, 53, 72, 57]","[48, 50, 100, 50]",mp,0,4,0,0,0,0
7.2,[],[],[],[],,0,0,0,0,0,0
7.3,[],[],[],[],,0,0,0,0,0,0
7.4,['note_on'],[0],[63],[48],pp,0,1,0,0,0,0
7.5,"['note_on', 'note_on']","[0, 0]","[53, 57]","[49, 48]",pp,0,2,0,0,0,0
7.6,[],[],[],[],,0,0,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,"[124, 116, 100, 78]",0
7.8,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[63, 53, 71, 57]","[61, 65, 90, 57]",mp,0,4,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,"[8, 60, 76]",0
8.0,[],[],[],[],,0,0,0,0,"[90, 100, 108, 114, 118, 120]",0
8.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 57, 53]","[56, 48, 52]",p,0,3,0,0,"[122, 124, 127]",0
8.2,[],[],[],[],,0,0,0,0,0,0
8.3,[],[],[],[],,0,0,0,0,0,0
8.4,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 53, 57]","[68, 60, 56]",p,0,3,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,0,0
8.6,[],[],[],[],,0,0,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 53, 57]","[63, 49, 46]",p,0,3,0,0,0,0
8.9,[],[],[],[],,0,0,0,0,0,0
9.0,[],[],[],[],,0,0,0,0,110,0
9.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[53, 57, 62]","[63, 52, 65]",p,0,3,0,0,"[90, 20, 1, 0]",0
9.2,[],[],[],[],,0,0,0,0,"[4, 22, 38, 54, 66, 78, 90, 100]",0
9.3,[],[],[],[],,0,0,0,0,"[106, 112, 118, 120, 122, 124, 126, 127]",0
9.4,['note_on'],[0],[62],[60],p,0,1,0,0,0,0
9.5,"['note_on', 'note_on']","[0, 0]","[57, 53]","[55, 48]",p,0,2,0,0,0,0
9.6,[],[],[],[],,0,0,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[72, 56, 53, 62]","[100, 59, 51, 50]",mp,0,4,0,0,0,0
9.9,[],[],[],[],,0,0,0,0,0,0
10.0,[],[],[],[],,0,0,0,0,0,0
10.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 62, 53]","[38, 53, 50]",pp,0,3,0,0,0,0
10.2,[],[],[],[],,0,0,0,0,0,0
10.3,[],[],[],[],,0,0,0,0,"[118, 100, 78]",0
10.4,[],[],[],[],,0,0,0,0,"[50, 0]",0
10.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[56, 62, 52, 71]","[59, 60, 59, 95]",mp,0,4,0,0,0,0
10.6,[],[],[],[],,0,0,0,0,"[20, 42, 60, 72, 86]",0
10.7,[],[],[],[],,0,0,0,0,"[96, 102, 106, 110, 114, 116, 118, 120, 122]",0
10.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 62, 52]","[46, 51, 48]",pp,0,3,0,0,"[126, 127]",0
10.9,[],[],[],[],,0,0,0,0,0,0
11.0,[],[],[],[],,0,0,0,0,0,0
11.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 62, 52]","[57, 67, 62]",mp,0,3,0,0,0,0
11.2,[],[],[],[],,0,0,0,0,0,0
11.3,[],[],[],[],,0,0,0,0,0,0
11.4,"['note_on', 'note_on']","[0, 0]","[56, 62]","[48, 55]",p,0,2,0,0,0,0
11.5,['note_on'],[0],[52],[52],p,0,1,0,0,0,0
11.6,[],[],[],[],,0,0,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,"[112, 88, 56]",0
11.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 55, 62]","[57, 59, 66]",p,0,3,0,0,0,0
11.9,[],[],[],[],,0,0,0,0,"[52, 76, 98, 118, 127]",0
12.0,[],[],[],[],,0,0,0,0,0,0
12.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 55, 52]","[55, 48, 44]",p,0,3,0,0,0,0
12.2,[],[],[],[],,0,0,0,0,0,0
12.3,[],[],[],[],,0,0,0,0,0,0
12.4,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[61, 70, 52]","[68, 94, 59]",mp,0,3,0,0,0,0
12.5,['note_on'],[0],[55],[55],p,0,1,0,0,0,0
12.6,[],[],[],[],,0,0,0,0,0,0
12.7,['note_on'],[0],[61],[49],p,0,1,0,0,0,0
12.8,"['note_on', 'note_on']","[0, 0]","[52, 55]","[46, 45]",pp,0,2,0,0,0,0
12.9,[],[],[],[],,0,0,0,0,0,0
13.0,[],[],[],[],,0,0,0,0,"[116, 94, 65, 0]",0
