sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,"[66, 68, 70, 72]",64
0.1,[],[],[],[],,0,0,0,0,74,0
0.2,[],[],[],[],,0,0,0,0,76,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,['note_on'],[0],[59],[50],p,0,1,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,"[78, 80]",0
0.9,[],[],[],[],,0,0,0,0,82,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,['note_on'],[0],[59],[76],mf,1,1,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,"[84, 86, 88, 90, 92, 94, 96]",0
1.9,[],[],[],[],,0,0,0,0,"[98, 100, 102]",0
2.0,[],[],[],[],,0,0,0,0,"[104, 106, 108]",0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,['note_on'],[0],[71],[63],mp,0,1,0,0,106,0
2.4,[],[],[],[],,0,0,0,0,"[104, 102, 98, 94, 86, 74]",0
2.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 64, 55, 59]","[88, 56, 52, 58]",mp,0,4,0,0,"[58, 34, 4, 0]",0
2.6,[],[],[],[],,0,0,0,0,"[6, 30]",0
2.7,[],[],[],[],,0,0,0,0,"[50, 66, 80, 90, 98, 102, 106, 108]",0
2.8,[],[],[],[],,0,0,0,0,"[110, 112, 114, 118, 120]",0
2.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[59, 64, 55]","[52, 51, 52]",p,0,3,0,0,"[124, 127]",0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,0,0
