sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,['note_on'],[0],[59],[72],mp,0,1,0,0,48,0
1.9,[],[],[],[],,0,0,0,0,127,0
2.0,[],[],[],[],,0,0,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,['note_on'],[0],[71],[79],mf,1,1,0,0,78,0
2.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 64, 55, 59]","[77, 53, 57, 57]",p,0,4,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,"[28, 82, 104]",0
2.7,[],[],[],[],,0,0,0,0,"[124, 127]",0
2.8,['note_on'],[0],[64],[49],p,0,1,0,0,0,0
2.9,"['note_on', 'note_on']","[0, 0]","[59, 55]","[49, 51]",p,0,2,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[53, 57, 57]",p,0,3,0,0,0,0
3.3,[],[],[],[],,0,0,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[53, 58, 60]",p,0,3,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[57, 54, 57]",p,0,3,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[44, 49, 56]",p,0,3,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,[],[],[],[],,0,0,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[72, 64, 55, 59]","[94, 53, 56, 58]",mp,0,4,0,0,0,0
4.6,[],[],[],[],,0,0,0,0,0,0
4.7,[],[],[],[],,0,0,0,0,0,0
4.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[49, 47, 46]",pp,0,3,0,0,0,0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 71, 64]","[58, 94, 60]",mp,0,3,0,0,"[122, 106, 82, 0]",0
5.2,['note_on'],[0],[57],[61],p,0,1,0,0,0,0
5.3,[],[],[],[],,0,0,0,0,"[50, 110, 127]",0
5.4,[],[],[],[],,0,0,0,0,0,0
5.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 64, 57]","[46, 47, 44]",pp,0,3,0,0,0,0
5.6,[],[],[],[],,0,0,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 54, 57]","[67, 63, 58]",mp,0,3,0,0,0,0
5.9,[],[],[],[],,0,0,0,0,0,0
6.0,[],[],[],[],,0,0,0,0,0,0
6.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 54, 57]","[52, 48, 51]",p,0,3,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
6.3,[],[],[],[],,0,0,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 54, 57]","[64, 58, 52]",p,0,3,0,0,0,0
6.6,[],[],[],[],,0,0,0,0,0,0
6.7,[],[],[],[],,0,0,0,0,0,0
6.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 54, 57]","[51, 49, 46]",pp,0,3,0,0,0,0
6.9,[],[],[],[],,0,0,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,"['note_on', 'note_on']","[0, 0]","[63, 72]","[57, 100]",mf,1,2,0,0,120,0
7.2,"['note_on', 'note_on']","[0, 0]","[54, 57]","[60, 57]",p,0,2,0,0,"[118, 120, 124, 127]",0
7.3,[],[],[],[],,0,0,0,0,0,0
7.4,"['note_on', 'note_on']","[0, 0]","[54, 63]","[48, 55]",p,0,2,0,0,0,0
7.5,['note_on'],[0],[57],[49],p,0,1,0,0,0,0
7.6,[],[],[],[],,0,0,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,"[120, 102, 80]",0
7.8,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[63, 71, 57, 53]","[60, 93, 49, 58]",mp,0,4,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,"[62, 88]",0
8.0,[],[],[],[],,0,0,0,0,127,0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 57, 53]","[60, 44, 53]",p,0,3,0,0,0,0
8.3,[],[],[],[],,0,0,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 57, 53]","[74, 58, 63]",mp,0,3,0,0,0,0
8.6,[],[],[],[],,0,0,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 53, 57]","[57, 45, 50]",p,0,3,0,0,0,0
8.9,[],[],[],[],,0,0,0,0,0,0
9.0,[],[],[],[],,0,0,0,0,0,0
9.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 53, 62]","[63, 61, 69]",mp,0,3,0,0,"[108, 30, 0]",0
9.2,[],[],[],[],,0,0,0,0,50,0
9.3,[],[],[],[],,0,0,0,0,"[72, 94, 110, 124, 127]",0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 57, 53]","[53, 45, 47]",pp,0,3,0,0,0,0
9.6,[],[],[],[],,0,0,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[72, 56, 62, 53]","[100, 70, 58, 54]",mp,0,4,0,0,0,0
9.9,[],[],[],[],,0,0,0,0,0,0
10.0,[],[],[],[],,0,0,0,0,0,0
10.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 56, 53]","[56, 57, 53]",p,0,3,0,0,0,0
10.2,[],[],[],[],,0,0,0,0,0,0
10.3,[],[],[],[],,0,0,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,"[126, 104, 78, 42, 0]",0
10.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[62, 56, 71, 52]","[60, 60, 94, 67]",mp,0,4,0,0,0,0
10.6,[],[],[],[],,0,0,0,0,"[6, 42, 58, 68]",0
10.7,[],[],[],[],,0,0,0,0,"[78, 88, 98, 106, 116, 126, 127]",0
10.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 56, 52]","[57, 41, 54]",p,0,3,0,0,0,0
10.9,[],[],[],[],,0,0,0,0,0,0
11.0,[],[],[],[],,0,0,0,0,0,0
11.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 62, 52]","[58, 67, 58]",p,0,3,0,0,0,0
11.2,[],[],[],[],,0,0,0,0,0,0
11.3,[],[],[],[],,0,0,0,0,0,0
11.4,['note_on'],[0],[56],[48],pp,0,1,0,0,0,0
11.5,"['note_on', 'note_on']","[0, 0]","[62, 52]","[47, 51]",p,0,2,0,0,0,0
11.6,[],[],[],[],,0,0,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 55, 52]","[66, 63, 65]",mp,0,3,0,0,"[126, 62, 0]",0
11.9,[],[],[],[],,0,0,0,0,"[2, 46, 78, 96]",0
12.0,[],[],[],[],,0,0,0,0,"[110, 124, 127]",0
12.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 55, 52]","[52, 51, 41]",pp,0,3,0,0,0,0
12.2,[],[],[],[],,0,0,0,0,0,0
12.3,[],[],[],[],,0,0,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,0,0
12.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[61, 70, 52, 55]","[66, 100, 56, 60]",mp,0,4,0,0,0,0
12.6,[],[],[],[],,0,0,0,0,0,0
12.7,[],[],[],[],,0,0,0,0,0,0
12.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[61, 52, 55]","[60, 56, 46]",p,0,3,0,0,0,0
12.9,[],[],[],[],,0,0,0,0,0,0
13.0,[],[],[],[],,0,0,0,0,0,0
13.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[60, 55, 52, 69]","[65, 53, 66, 88]",mp,0,4,0,0,"[122, 94, 62, 30, 0]",0
13.2,[],[],[],[],,0,0,0,0,1,0
13.3,[],[],[],[],,0,0,0,0,"[28, 50, 68, 84, 100, 116, 127]",0
13.4,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 55, 60]","[49, 45, 53]",p,0,3,0,0,0,0
13.5,[],[],[],[],,0,0,0,0,0,0
13.6,[],[],[],[],,0,0,0,0,0,0
