sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[60, 64, 76, 57]","[61, 72, 100, 69]",mf,0,4,0,0,"[120, 104, 82, 60, 32, 0]",0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 60, 57]","[68, 56, 57]",p,0,3,0,0,0,0
0.6,['note_on'],[0],[76],[88],f,1,1,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 60, 64, 57]","[94, 65, 66, 65]",mp,0,4,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 64, 57]","[57, 57, 55]",p,0,3,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,['note_on'],[0],[60],[61],p,0,1,0,0,0,0
1.4,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 72, 64]","[61, 90, 59]",mp,0,3,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,"['note_on', 'note_on']","[0, 0]","[60, 64]","[56, 61]",p,0,2,0,0,0,0
1.7,['note_on'],[0],[57],[56],p,0,1,0,0,0,0
1.8,['note_on'],[0],[69],[74],mp,0,1,0,0,0,0
1.9,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[69, 59, 62, 64, 57]","[96, 68, 66, 72, 51]",mp,0,5,0,0,0,0
2.0,[],[],[],[],,0,0,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[59, 62, 64, 68]","[54, 60, 60, 88]",mp,0,4,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[68, 57, 62, 64, 59]","[96, 56, 66, 61, 63]",mp,0,5,0,0,"[36, 56, 72, 86]",0
2.6,[],[],[],[],,0,0,0,0,"[100, 114, 126, 127]",0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[62, 64, 57, 59]","[65, 66, 48, 65]",p,0,4,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[62, 59, 64, 57]","[60, 59, 61, 55]",p,0,4,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,0,0
3.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[62, 64, 59, 57]","[57, 57, 59, 49]",p,0,4,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,[],[],[],[],,0,0,0,0,"[122, 114, 98, 78, 54, 0]",0
3.6,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[64, 57, 74, 62, 59]","[51, 48, 100, 56, 51]",p,0,5,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 59, 57, 62]","[49, 47, 45, 51]",pp,0,4,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,['note_on'],[0],[71],[75],mf,0,1,0,0,0,0
4.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 60, 64, 57]","[100, 69, 72, 65]",mf,1,4,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,"[2, 22, 42, 58, 70, 84, 98, 110]",0
4.3,[],[],[],[],,0,0,0,0,"[122, 127]",0
4.4,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 60, 57]","[68, 51, 56]",p,0,3,0,0,0,0
4.5,[],[],[],[],,0,0,0,0,0,0
4.6,[],[],[],[],,0,0,0,0,"[120, 110, 96, 80, 64, 28, 6, 0]",0
4.7,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 76, 57, 60]","[61, 100, 60, 57]",mp,0,4,0,0,0,0
4.8,[],[],[],[],,0,0,0,0,0,0
4.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 60, 57]","[66, 59, 53]",p,0,3,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,['note_on'],[0],[76],[81],mf,1,1,0,0,0,0
5.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 64, 60, 57]","[81, 63, 63, 56]",mp,0,4,0,0,0,0
5.3,[],[],[],[],,0,0,0,0,0,0
5.4,[],[],[],[],,0,0,0,0,0,0
5.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[77, 64, 60, 57]","[78, 57, 57, 51]",p,0,4,0,0,0,0
5.6,['note_on'],[0],[76],[63],mp,0,1,0,0,0,0
5.7,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[74, 60, 64, 57]","[76, 57, 66, 61]",mp,0,4,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,['note_on'],[0],[72],[80],mf,1,1,0,0,0,0
6.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 71, 57, 60]","[55, 82, 53, 52]",p,0,4,0,0,0,0
6.1,['note_on'],[0],[69],[84],mf,1,1,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
6.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[62, 59, 69, 64]","[66, 65, 81, 53]",mp,0,4,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,[],[],[],[],,0,0,0,0,0,0
6.6,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[64, 68, 59, 62, 57]","[56, 84, 63, 66, 42]",mp,0,5,0,0,0,0
6.7,[],[],[],[],,0,0,0,0,0,0
6.8,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[68, 59, 64, 57, 62]","[93, 54, 59, 60, 59]",mp,0,5,0,0,0,0
6.9,[],[],[],[],,0,0,0,0,"[46, 66, 82, 98, 108, 118, 124, 127]",0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[59, 57, 64, 62]","[46, 53, 57, 54]",p,0,4,0,0,0,0
7.2,[],[],[],[],,0,0,0,0,0,0
7.3,"['note_on', 'note_on']","[0, 0]","[59, 64]","[43, 59]",p,0,2,0,0,0,0
7.4,"['note_on', 'note_on']","[0, 0]","[62, 57]","[54, 51]",p,0,2,0,0,0,0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[59, 64, 62, 57]","[46, 53, 49, 43]",pp,0,4,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,"[126, 124, 120]",0
7.8,[],[],[],[],,0,0,0,0,"[118, 114, 112, 110, 108, 106, 102, 100, 96, 94]",0
7.9,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[59, 64, 57, 62, 74]","[45, 51, 51, 60, 93]",p,0,5,0,0,"[90, 86, 82, 78, 72, 70, 65, 60, 56, 52]",0
8.0,[],[],[],[],,0,0,0,0,"[48, 42, 36, 32, 28, 20, 14, 6, 2, 0]",0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[59, 62, 64, 57]","[45, 45, 48, 41]",pp,0,4,0,0,0,0
8.3,['note_on'],[0],[71],[75],mf,0,1,0,0,0,0
8.4,"['note_on', 'note_on']","[0, 0]","[64, 57]","[66, 59]",mp,0,2,0,0,0,0
8.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 72, 76]","[56, 87, 96]",mf,1,3,0,0,"[42, 65, 82, 100, 114, 126]",0
8.6,[],[],[],[],,0,0,0,0,127,0
8.7,['note_on'],[0],[57],[70],mp,0,1,0,0,126,0
8.8,[],[],[],[],,0,0,0,0,"[120, 118, 116, 114, 112, 108, 106, 102, 98, 96]",0
8.9,"['note_on', 'note_on']","[0, 0]","[69, 72]","[78, 76]",mf,1,2,0,0,"[92, 88, 82, 74, 65, 56, 44, 32, 20]",0
9.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[72, 76, 52]","[76, 100, 74]",mf,1,3,0,0,"[6, 0]",0
9.1,[],[],[],[],,0,0,0,0,0,0
9.2,[],[],[],[],,0,0,0,0,0,0
9.3,['note_on'],[0],[48],[72],mp,0,1,0,0,0,0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,[],[],[],[],,0,0,0,0,0,0
9.6,['note_on'],[0],[45],[70],mp,0,1,0,0,"[1, 8, 16, 20, 22, 26, 28, 30, 36]",0
9.7,[],[],[],[],,0,0,0,0,"[48, 54, 62, 70, 78, 88, 98, 106, 116, 126]",0
9.8,"['note_on', 'note_on']","[0, 0]","[69, 72]","[78, 72]",mf,0,2,0,0,127,0
9.9,[],[],[],[],,0,0,0,0,"[124, 110, 92, 76, 58, 38, 20, 6]",0
10.0,[],[],[],[],,0,0,0,0,0,0
10.1,"['note_on', 'note_on']","[0, 0]","[74, 71]","[84, 82]",mf,1,2,0,0,0,0
10.2,[],[],[],[],,0,0,0,0,0,0
10.3,[],[],[],[],,0,0,0,0,0,0
10.4,"['note_on', 'note_on']","[0, 0]","[76, 73]","[75, 73]",mp,0,2,0,0,0,0
10.5,[],[],[],[],,0,0,0,0,0,0
10.6,"['note_on', 'note_on']","[0, 0]","[76, 73]","[91, 88]",f,1,2,0,0,0,0
10.7,[],[],[],[],,0,0,0,0,0,0
10.8,[],[],[],[],,0,0,0,0,0,0
