sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,"['note_on', 'note_on']","[0, 0]","[60, 64]","[52, 52]",p,0,2,127,0,"[92, 96, 98, 104, 108, 114, 120, 127]",62
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,['note_on'],[0],[67],[54],p,0,1,0,0,0,0
0.4,['note_on'],[0],[72],[47],pp,0,1,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,['note_on'],[0],[76],[54],p,0,1,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,['note_on'],[0],[67],[41],pp,0,1,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,['note_on'],[0],[72],[54],p,0,1,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,['note_on'],[0],[76],[51],p,0,1,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,['note_on'],[0],[60],[52],p,0,1,0,0,"[124, 104, 84, 36]",0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,['note_on'],[0],[64],[41],pp,0,1,0,0,"[4, 12, 20, 30, 36]",0
1.8,[],[],[],[],,0,0,0,0,"[40, 48, 54, 58, 64, 66, 70, 76, 80, 86]",0
1.9,['note_on'],[0],[67],[54],p,0,1,0,0,"[90, 96, 102, 108, 112, 116, 120, 124, 127]",0
2.0,[],[],[],[],,0,0,0,0,0,0
2.1,['note_on'],[0],[72],[53],p,0,1,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,['note_on'],[0],[76],[54],p,0,1,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,['note_on'],[0],[67],[48],pp,0,1,0,0,0,0
2.7,['note_on'],[0],[72],[51],p,0,1,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,['note_on'],[0],[76],[57],p,0,1,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
3.0,['note_on'],[0],[60],[51],p,0,1,0,0,"[110, 90, 48, 0]",0
3.1,['note_on'],[0],[62],[51],p,0,1,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,"[2, 10, 20, 28, 36, 46, 54, 60, 65, 72]",0
3.3,['note_on'],[0],[69],[48],pp,0,1,0,0,"[78, 86, 92, 100, 108, 112, 116, 120, 124, 127]",0
3.5,[],[],[],[],,0,0,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,['note_on'],[0],[74],[56],p,0,1,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.8,['note_on'],[0],[77],[53],p,0,1,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,['note_on'],[0],[69],[52],p,0,1,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,['note_on'],[0],[74],[54],p,0,1,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,['note_on'],[0],[77],[49],p,0,1,0,0,0,0
4.6,[],[],[],[],,0,0,0,0,0,0
4.7,[],[],[],[],,0,0,0,0,0,0
4.8,['note_on'],[0],[60],[53],p,0,1,0,0,"[116, 98, 78, 54, 30, 4, 0]",0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,['note_on'],[0],[62],[48],pp,0,1,0,0,"[8, 18]",0
5.1,[],[],[],[],,0,0,0,0,"[28, 36, 46, 56, 64, 70, 78, 86, 90, 98]",0
5.2,['note_on'],[0],[69],[54],p,0,1,0,0,"[106, 112, 122, 127]",0
5.2,['note_on'],[0],[74],[56],p,0,1,0,0,0,0
5.3,['note_on'],[0],[77],[60],p,0,1,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,['note_on'],[0],[69],[60],p,0,1,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,['note_on'],[0],[74],[64],mp,0,1,0,0,0,0
5.9,[],[],[],[],,0,0,0,0,0,0
6.0,[],[],[],[],,0,0,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
6.0,"['note_on', 'note_on']","[0, 0]","[77, 59]","[61, 54]",p,0,2,0,0,"[124, 106, 88, 65]",0
6.1,[],[],[],[],,0,0,0,0,"[42, 14, 0]",0
6.2,['note_on'],[0],[62],[51],p,0,1,0,0,0,0
6.3,[],[],[],[],,0,0,0,0,"[6, 20, 34, 46, 58, 65, 72, 80, 90, 96]",0
6.4,['note_on'],[0],[67],[61],p,0,1,0,0,"[102, 110, 118, 126, 127]",0
6.8,"['note_on', 'note_on']","[0, 0]","[74, 77]","[66, 64]",mp,0,2,0,0,0,0
6.9,[],[],[],[],,0,0,0,0,0,0
7.0,['note_on'],[0],[67],[62],mp,0,1,0,0,0,0
7.1,[],[],[],[],,0,0,0,0,0,0
7.2,['note_on'],[0],[74],[62],mp,0,1,0,0,0,0
7.3,[],[],[],[],,0,0,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,['note_on'],[0],[77],[62],mp,0,1,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,0,0
8.0,[],[],[],[],,0,0,0,0,0,0
8.1,['note_on'],[0],[59],[56],p,0,1,0,0,"[122, 104, 60, 38]",0
8.2,[],[],[],[],,0,0,0,0,"[16, 0]",0
8.3,['note_on'],[0],[62],[57],p,0,1,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,"[1, 18, 30, 44, 56, 65, 72, 80, 86]",0
8.5,"['note_on', 'note_on']","[0, 0]","[67, 74]","[64, 68]",mp,0,2,0,0,"[90, 96, 100, 106, 112, 118, 124, 127]",0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,['note_on'],[0],[77],[66],mp,0,1,0,0,0,0
8.8,[],[],[],[],,0,0,0,0,0,0
8.9,['note_on'],[0],[67],[77],mf,1,1,0,0,0,0
9.0,['note_on'],[0],[74],[72],mp,0,1,0,0,0,0
9.1,[],[],[],[],,0,0,0,0,0,0
9.2,[],[],[],[],,0,0,0,0,0,0
9.3,[],[],[],[],,0,0,0,0,0,0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,[],[],[],[],,0,0,0,0,0,0
