sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,['note_on'],[0],[60],[62],mp,0,1,127,0,"[54, 62, 70, 78, 86, 92, 98, 108, 118]",62
0.1,[],[],[],[],,0,0,0,0,"[126, 127]",0
0.2,['note_on'],[0],[64],[53],p,0,1,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,['note_on'],[0],[67],[60],p,0,1,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,['note_on'],[0],[72],[64],mp,0,1,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,['note_on'],[0],[76],[78],mf,0,1,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,['note_on'],[0],[67],[68],mp,0,1,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,['note_on'],[0],[72],[66],mp,0,1,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,['note_on'],[0],[76],[63],mp,0,1,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,"[120, 106, 92, 70, 52]",0
1.6,['note_on'],[0],[60],[60],p,0,1,0,0,"[2, 0]",0
1.7,[],[],[],[],,0,0,0,0,"[12, 30, 50, 64, 78, 90, 104]",0
1.8,['note_on'],[0],[64],[63],mp,0,1,0,0,"[116, 126, 127]",0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,['note_on'],[0],[67],[66],mp,0,1,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,['note_on'],[0],[72],[68],mp,0,1,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,['note_on'],[0],[76],[73],mp,0,1,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,['note_on'],[0],[67],[66],mp,0,1,0,0,0,0
2.7,['note_on'],[0],[72],[71],mp,0,1,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,['note_on'],[0],[76],[71],mp,0,1,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,"[108, 88]",0
3.0,['note_on'],[0],[60],[70],mp,0,1,0,0,"[64, 40, 0, 1, 12, 28, 42, 56, 84, 94]",0
3.1,['note_on'],[0],[62],[68],mp,0,1,0,0,"[106, 116, 126, 127]",0
3.3,"['note_on', 'note_on']","[0, 0]","[69, 67]","[62, 63]",mp,0,2,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,['note_on'],[0],[74],[73],mp,0,1,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.8,['note_on'],[0],[77],[78],mf,0,1,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,['note_on'],[0],[67],[38],pp,0,1,0,0,0,0
4.3,['note_on'],[0],[74],[54],p,0,1,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,[],[],[],[],,0,0,0,0,0,0
4.6,[],[],[],[],,0,0,0,0,0,0
4.7,['note_on'],[0],[60],[70],mp,0,1,0,0,"[90, 62]",0
4.8,[],[],[],[],,0,0,0,0,0,0
4.9,['note_on'],[0],[62],[64],mp,0,1,0,0,"[12, 30, 52, 64, 78, 92, 104]",0
5.0,[],[],[],[],,0,0,0,0,"[118, 127]",0
5.1,['note_on'],[0],[69],[43],pp,0,1,0,0,0,0
5.2,['note_on'],[0],[67],[42],pp,0,1,0,0,0,0
5.2,['note_on'],[0],[74],[63],mp,0,1,0,0,0,0
5.3,['note_on'],[0],[77],[78],mf,0,1,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,['note_on'],[0],[69],[68],mp,0,1,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,['note_on'],[0],[74],[70],mp,0,1,0,0,0,0
5.9,[],[],[],[],,0,0,0,0,0,0
6.0,[],[],[],[],,0,0,0,0,0,0
