sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,"[1, 10]",0
0.2,[],[],[],[],,0,0,0,0,"[16, 22, 28, 30, 32, 38]",0
0.3,[],[],[],[],,0,0,0,0,"[44, 52, 58, 62, 68, 76, 88, 98, 114, 127]",0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,"['note_on', 'note_on']","[0, 0]","[81, 57]","[72, 43]",p,0,2,0,0,0,0
0.8,['note_on'],[0],[69],[43],pp,0,1,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[76, 52, 64]","[68, 48, 39]",p,0,3,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,"['note_on', 'note_on']","[0, 0]","[52, 64]","[47, 54]",p,0,2,0,0,0,0
2.1,"['note_on', 'note_on']","[0, 0]","[50, 62]","[52, 52]",p,0,2,0,0,0,0
2.2,"['note_on', 'note_on']","[0, 0]","[49, 61]","[58, 46]",p,0,2,0,0,0,0
2.3,"['note_on', 'note_on']","[0, 0]","[47, 59]","[46, 46]",pp,0,2,0,0,"[126, 100, 70]",0
2.4,"['note_on', 'note_on']","[0, 0]","[45, 57]","[54, 60]",p,0,2,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[81, 57, 69]","[70, 47, 51]",p,0,3,0,0,0,0
3.3,[],[],[],[],,0,0,0,0,127,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,['note_on'],[0],[54],[73],mp,0,1,0,0,0,0
3.6,"['note_on', 'note_on']","[0, 0]","[66, 78]","[68, 71]",mp,0,2,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,[],[],[],[],,0,0,0,0,0,0
4.4,['note_on'],[0],[66],[57],p,0,1,0,0,0,0
4.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 52, 64]","[38, 54, 43]",pp,0,3,0,0,0,0
4.6,"['note_on', 'note_on']","[0, 0]","[62, 49]","[56, 65]",p,0,2,0,0,"[100, 74, 46, 18, 0]",0
4.7,['note_on'],[0],[61],[60],p,0,1,0,0,0,0
4.8,"['note_on', 'note_on']","[0, 0]","[47, 59]","[66, 62]",mp,0,2,0,0,0,0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,[],[],[],[],,0,0,0,0,0,0
5.3,[],[],[],[],,0,0,0,0,0,0
5.4,[],[],[],[],,0,0,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[86, 62, 74]","[74, 58, 41]",p,0,3,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[83, 59, 71]","[77, 66, 60]",mp,0,3,0,0,"[120, 127]",0
6.0,[],[],[],[],,0,0,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
6.3,[],[],[],[],,0,0,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,"['note_on', 'note_on']","[0, 0]","[56, 80]","[67, 68]",mp,0,2,0,0,0,0
6.6,['note_on'],[0],[68],[52],p,0,1,0,0,0,0
6.7,[],[],[],[],,0,0,0,0,0,0
6.8,[],[],[],[],,0,0,0,0,0,0
6.9,[],[],[],[],,0,0,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,"['note_on', 'note_on']","[0, 0]","[76, 52]","[72, 58]",mp,0,2,0,0,0,0
7.2,['note_on'],[0],[64],[43],pp,0,1,0,0,0,0
7.3,[],[],[],[],,0,0,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,[],[],[],[],,0,0,0,0,0,0
7.7,['note_on'],[0],[74],[72],mp,0,1,0,0,0,0
7.8,"['note_on', 'note_on']","[0, 0]","[50, 62]","[58, 52]",p,0,2,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,0,0
8.0,[],[],[],[],,0,0,0,0,0,0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,[],[],[],[],,0,0,0,0,0,0
8.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[71, 59, 47]","[83, 62, 66]",mp,0,3,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,0,0
8.6,[],[],[],[],,0,0,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,[],[],[],[],,0,0,0,0,0,0
8.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[44, 68, 56]","[65, 75, 65]",mp,0,3,0,0,0,0
9.0,[],[],[],[],,0,0,0,0,0,0
9.1,[],[],[],[],,0,0,0,0,0,0
