sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,['note_on'],[0],[59],[95],f,1,1,0,0,"[32, 64, 84, 106, 127]",0
2.0,[],[],[],[],,0,0,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,['note_on'],[0],[71],[90],f,1,1,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 64, 55, 59]","[93, 54, 56, 55]",mp,0,4,0,0,0,0
2.7,[],[],[],[],,0,0,0,0,"[1, 72, 90, 108, 126]",0
2.8,[],[],[],[],,0,0,0,0,127,0
2.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[66, 48, 56]",p,0,3,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 64, 59]","[51, 55, 55]",p,0,3,0,0,0,0
3.3,[],[],[],[],,0,0,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,"['note_on', 'note_on']","[0, 0]","[64, 55]","[56, 47]",p,0,2,0,0,0,0
3.6,['note_on'],[0],[59],[58],p,0,1,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[64, 55, 62]",p,0,3,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 64, 59]","[60, 64, 68]",mp,0,3,0,0,0,0
4.3,[],[],[],[],,0,0,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[55, 72, 64, 59]","[45, 84, 51, 55]",p,0,4,0,0,0,0
4.6,[],[],[],[],,0,0,0,0,0,0
4.7,[],[],[],[],,0,0,0,0,0,0
4.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[59, 64, 55]","[68, 52, 48]",p,0,3,0,0,0,0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,"[86, 52, 20, 0]",0
5.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 71, 54, 57]","[60, 84, 56, 50]",mp,0,4,0,0,22,0
5.3,[],[],[],[],,0,0,0,0,"[44, 65, 98, 112, 127]",0
5.4,[],[],[],[],,0,0,0,0,0,0
5.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 64, 57]","[52, 58, 50]",p,0,3,0,0,0,0
5.6,[],[],[],[],,0,0,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,['note_on'],[0],[54],[40],pp,0,1,0,0,0,0
6.0,[],[],[],[],,0,0,0,0,0,0
6.1,"['note_on', 'note_on']","[0, 0]","[64, 54]","[54, 28]",pp,0,2,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
6.3,[],[],[],[],,0,0,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 54, 57]","[56, 36, 34]",pp,0,3,0,0,0,0
6.6,[],[],[],[],,0,0,0,0,0,0
6.7,[],[],[],[],,0,0,0,0,0,0
6.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 63, 57]","[46, 52, 38]",pp,0,3,0,0,0,0
6.9,[],[],[],[],,0,0,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[72, 63, 54]","[82, 48, 40]",p,0,3,0,0,0,0
7.2,['note_on'],[0],[57],[43],pp,0,1,0,0,0,0
7.3,[],[],[],[],,0,0,0,0,0,0
7.4,"['note_on', 'note_on']","[0, 0]","[54, 63]","[56, 59]",p,0,2,0,0,0,0
7.5,['note_on'],[0],[57],[35],ppp,0,1,0,0,0,0
7.6,[],[],[],[],,0,0,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,"[126, 104, 6, 0]",0
7.8,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 63, 53, 57]","[84, 56, 54, 45]",p,0,4,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,"[60, 80, 98, 114, 127]",0
8.0,[],[],[],[],,0,0,0,0,0,0
8.1,"['note_on', 'note_on']","[0, 0]","[63, 53]","[62, 54]",p,0,2,0,0,0,0
8.2,['note_on'],[0],[57],[46],pp,0,1,0,0,0,0
8.3,[],[],[],[],,0,0,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 53, 57]","[59, 46, 41]",pp,0,3,0,0,0,0
8.6,[],[],[],[],,0,0,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,"['note_on', 'note_on']","[0, 0]","[63, 53]","[59, 34]",pp,0,2,0,0,0,0
8.9,[],[],[],[],,0,0,0,0,0,0
9.0,[],[],[],[],,0,0,0,0,0,0
9.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 53, 57]","[55, 47, 54]",p,0,3,0,0,"[112, 94, 72, 30, 12, 0]",0
9.2,[],[],[],[],,0,0,0,0,"[6, 20, 60, 78, 92, 106, 120]",0
9.3,[],[],[],[],,0,0,0,0,127,0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 53, 62]","[60, 48, 51]",p,0,3,0,0,0,0
9.6,[],[],[],[],,0,0,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[53, 62, 72, 56]","[54, 55, 77, 44]",p,0,4,0,0,0,0
9.9,[],[],[],[],,0,0,0,0,0,0
10.0,[],[],[],[],,0,0,0,0,0,0
10.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 53, 62]","[52, 52, 58]",p,0,3,0,0,0,0
10.2,[],[],[],[],,0,0,0,0,0,0
10.3,[],[],[],[],,0,0,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,"[112, 20, 0]",0
10.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[62, 52, 71, 56]","[55, 56, 71, 47]",p,0,4,0,0,"[6, 32]",0
10.6,[],[],[],[],,0,0,0,0,"[52, 70, 86, 98, 110, 120, 127]",0
10.7,[],[],[],[],,0,0,0,0,0,0
10.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 62, 56]","[48, 50, 51]",p,0,3,0,0,0,0
10.9,[],[],[],[],,0,0,0,0,0,0
11.0,[],[],[],[],,0,0,0,0,0,0
11.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 62, 56]","[54, 52, 47]",p,0,3,0,0,0,0
11.2,[],[],[],[],,0,0,0,0,0,0
11.3,[],[],[],[],,0,0,0,0,0,0
11.4,"['note_on', 'note_on']","[0, 0]","[56, 52]","[37, 50]",pp,0,2,0,0,0,0
11.5,['note_on'],[0],[62],[47],pp,0,1,0,0,0,0
11.6,[],[],[],[],,0,0,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,122,0
11.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 62, 55]","[50, 50, 50]",p,0,3,0,0,"[106, 88, 66, 48, 30, 16, 8, 10, 18, 30]",0
11.9,[],[],[],[],,0,0,0,0,"[50, 64, 80, 92, 104, 116, 126, 127]",0
12.0,[],[],[],[],,0,0,0,0,0,0
12.1,"['note_on', 'note_on']","[0, 0]","[52, 62]","[55, 55]",p,0,2,0,0,0,0
12.2,['note_on'],[0],[55],[43],pp,0,1,0,0,0,0
12.3,[],[],[],[],,0,0,0,0,0,0
12.4,['note_on'],[0],[52],[34],ppp,0,1,0,0,0,0
12.5,"['note_on', 'note_on']","[0, 0]","[61, 70]","[52, 61]",p,0,2,0,0,0,0
12.6,[],[],[],[],,0,0,0,0,0,0
12.7,[],[],[],[],,0,0,0,0,0,0
12.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[61, 52, 55]","[54, 45, 37]",pp,0,3,0,0,0,0
12.9,[],[],[],[],,0,0,0,0,0,0
13.0,[],[],[],[],,0,0,0,0,0,0
13.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[69, 52, 60]","[52, 50, 55]",p,0,3,0,0,"[46, 0]",0
13.2,['note_on'],[0],[55],[46],pp,0,1,0,0,"[2, 74, 90, 106]",0
13.3,[],[],[],[],,0,0,0,0,"[120, 127]",0
13.4,[],[],[],[],,0,0,0,0,0,0
13.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 60, 55]","[45, 51, 51]",p,0,3,0,0,0,0
13.6,[],[],[],[],,0,0,0,0,0,0
13.7,[],[],[],[],,0,0,0,0,0,0
