sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,"[2, 6, 8, 12, 16]",0
1.6,[],[],[],[],,0,0,0,0,"[20, 26, 28, 32, 36, 40, 44, 48, 50, 54]",0
1.7,[],[],[],[],,0,0,0,0,"[58, 60, 62, 65, 70, 74, 78, 82, 88, 92]",0
1.8,['note_on'],[0],[59],[52],p,0,1,0,0,"[96, 100, 104, 108, 114, 118, 122, 127]",0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,[],[],[],[],,0,0,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,['note_on'],[0],[71],[54],p,0,1,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 64, 55, 59]","[59, 40, 43, 46]",pp,0,4,0,0,"[102, 48, 20, 0]",0
2.7,[],[],[],[],,0,0,0,0,"[22, 74, 96, 118, 127]",0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 59, 55]","[45, 50, 41]",pp,0,3,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[47, 45, 47]",pp,0,3,0,0,0,0
3.3,[],[],[],[],,0,0,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 64, 59]","[46, 42, 45]",pp,0,3,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[39, 45, 42]",pp,0,3,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 59, 64]","[42, 43, 37]",pp,0,3,0,0,0,0
4.3,['note_on'],[0],[71],[28],ppp,0,1,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[72, 55, 59, 64]","[62, 40, 45, 35]",pp,0,4,0,0,0,0
4.6,[],[],[],[],,0,0,0,0,0,0
4.7,[],[],[],[],,0,0,0,0,0,0
4.8,"['note_on', 'note_on']","[0, 0]","[59, 55]","[49, 54]",p,0,2,0,0,0,0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,"[108, 84, 58, 32, 2]",0
5.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[54, 71, 57, 64]","[48, 59, 43, 38]",pp,0,4,0,0,0,0
5.3,[],[],[],[],,0,0,0,0,"[16, 40, 64, 84, 102, 120, 127]",0
5.4,[],[],[],[],,0,0,0,0,0,0
5.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 64, 57]","[34, 41, 51]",pp,0,3,0,0,0,0
5.6,[],[],[],[],,0,0,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,"['note_on', 'note_on']","[0, 0]","[54, 64]","[39, 47]",pp,0,2,0,0,0,0
5.9,['note_on'],[0],[57],[37],pp,0,1,0,0,0,0
6.0,[],[],[],[],,0,0,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,"['note_on', 'note_on']","[0, 0]","[54, 64]","[51, 38]",pp,0,2,0,0,0,0
6.3,[],[],[],[],,0,0,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,"['note_on', 'note_on']","[0, 0]","[63, 54]","[48, 39]",pp,0,2,0,0,"[112, 94, 78, 64, 52, 46]",0
6.6,[],[],[],[],,0,0,0,0,"[52, 62, 70, 80, 92, 104, 118, 127]",0
6.7,[],[],[],[],,0,0,0,0,0,0
6.8,"['note_on', 'note_on']","[0, 0]","[63, 54]","[48, 34]",pp,0,2,0,0,0,0
6.9,['note_on'],[0],[57],[35],ppp,0,1,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,[],[],[],[],,0,0,0,0,0,0
7.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[63, 72, 54, 57]","[42, 72, 36, 37]",pp,0,4,0,0,0,0
7.3,[],[],[],[],,0,0,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,"['note_on', 'note_on']","[0, 0]","[54, 63]","[42, 53]",pp,0,2,0,0,0,0
7.6,[],[],[],[],,0,0,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,0,0
7.8,['note_on'],[0],[63],[45],pp,0,1,0,0,"[92, 16, 0]",0
7.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[71, 53, 57]","[59, 40, 41]",pp,0,3,0,0,"[2, 22, 44]",0
8.0,[],[],[],[],,0,0,0,0,"[65, 82, 96, 106, 116, 126, 127]",0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 53, 57]","[49, 39, 43]",pp,0,3,0,0,0,0
8.3,[],[],[],[],,0,0,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,"['note_on', 'note_on']","[0, 0]","[63, 53]","[50, 39]",pp,0,2,0,0,0,0
8.6,['note_on'],[0],[57],[40],pp,0,1,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,['note_on'],[0],[63],[58],p,0,1,0,0,0,0
8.9,[],[],[],[],,0,0,0,0,0,0
9.0,[],[],[],[],,0,0,0,0,0,0
9.1,[],[],[],[],,0,0,0,0,112,0
9.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 53, 57]","[60, 49, 42]",p,0,3,0,0,"[92, 74, 56, 40, 28, 26, 30, 40, 54, 66]",0
9.3,[],[],[],[],,0,0,0,0,"[82, 96, 110, 122, 127]",0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 53, 57]","[54, 49, 50]",p,0,3,0,0,0,0
9.6,[],[],[],[],,0,0,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 72, 56]","[41, 62, 53]",p,0,3,0,0,0,0
9.9,['note_on'],[0],[53],[36],pp,0,1,0,0,0,0
10.0,[],[],[],[],,0,0,0,0,0,0
10.1,[],[],[],[],,0,0,0,0,0,0
10.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 53, 56]","[51, 54, 53]",p,0,3,0,0,0,0
10.3,[],[],[],[],,0,0,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,0,0
10.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 62, 56, 52]","[60, 42, 49, 49]",p,0,4,0,0,"[102, 74, 44, 0]",0
10.6,[],[],[],[],,0,0,0,0,"[20, 44, 65]",0
10.7,[],[],[],[],,0,0,0,0,"[86, 100, 112, 126, 127]",0
10.8,['note_on'],[0],[52],[41],pp,0,1,0,0,0,0
10.9,"['note_on', 'note_on']","[0, 0]","[56, 62]","[50, 51]",p,0,2,0,0,0,0
11.0,[],[],[],[],,0,0,0,0,0,0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 62, 56]","[55, 55, 60]",p,0,3,0,0,0,0
11.3,[],[],[],[],,0,0,0,0,0,0
11.4,[],[],[],[],,0,0,0,0,0,0
11.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 56, 52]","[52, 54, 52]",p,0,3,0,0,0,0
11.6,[],[],[],[],,0,0,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,[],[],[],[],,0,0,0,0,"[90, 64, 42]",0
11.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 62, 55]","[50, 50, 51]",p,0,3,0,0,"[18, 2, 0, 4, 18, 36, 58]",0
12.0,[],[],[],[],,0,0,0,0,"[88, 102, 114, 126, 127]",0
12.1,[],[],[],[],,0,0,0,0,0,0
12.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 62, 55]","[52, 58, 50]",p,0,3,0,0,0,0
12.3,[],[],[],[],,0,0,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,0,0
12.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[52, 61, 70]","[46, 46, 52]",pp,0,3,0,0,0,0
12.6,['note_on'],[0],[55],[37],pp,0,1,0,0,0,0
12.7,[],[],[],[],,0,0,0,0,0,0
12.8,"['note_on', 'note_on']","[0, 0]","[61, 52]","[56, 51]",p,0,2,0,0,0,0
12.9,['note_on'],[0],[55],[39],pp,0,1,0,0,0,0
13.0,[],[],[],[],,0,0,0,0,0,0
13.1,[],[],[],[],,0,0,0,0,"[120, 90, 58]",0
13.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[52, 69, 60, 55]","[50, 54, 52, 42]",p,0,4,0,0,"[22, 0]",0
13.3,[],[],[],[],,0,0,0,0,"[2, 54, 74, 90, 106, 124, 127]",0
13.4,[],[],[],[],,0,0,0,0,0,0
