sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,['note_on'],[0],[59],[63],mp,0,1,0,0,"[4, 20, 30, 46, 62, 80, 98, 120, 127]",0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,['note_on'],[0],[71],[63],mp,0,1,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 71]","[48, 48, 79]",p,0,3,0,0,"[106, 80, 54, 1, 0]",0
2.7,['note_on'],[0],[59],[40],pp,0,1,0,0,"[8, 36, 50, 62, 70, 84, 98]",0
2.8,[],[],[],[],,0,0,0,0,"[110, 122, 127]",0
2.9,['note_on'],[0],[64],[52],p,0,1,0,0,0,0
3.0,"['note_on', 'note_on']","[0, 0]","[59, 55]","[48, 49]",pp,0,2,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,0,0
3.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 64, 59]","[49, 50, 48]",p,0,3,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,[],[],[],[],,0,0,0,0,"[126, 124, 122, 120, 116, 114, 112, 108]",0
3.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 64, 59]","[44, 47, 45]",pp,0,3,0,0,"[106, 104, 102, 100, 98, 96]",0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,"[98, 100, 102, 104]",0
3.9,[],[],[],[],,0,0,0,0,"[108, 110, 112, 114, 118, 120, 124, 126]",0
4.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 64, 59]","[42, 47, 48]",pp,0,3,0,0,127,0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 55, 59]","[42, 35, 52]",pp,0,3,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,[],[],[],[],,0,0,0,0,"[124, 120, 116, 108, 100, 92, 86]",0
4.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 72, 59, 55]","[45, 61, 40, 38]",pp,0,4,0,0,"[78, 72, 70, 76, 82, 90, 94, 100]",0
4.7,[],[],[],[],,0,0,0,0,"[104, 110, 116, 120, 124, 127]",0
4.8,[],[],[],[],,0,0,0,0,0,0
4.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 59, 64]","[42, 50, 44]",pp,0,3,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[71, 54, 64]","[75, 48, 47]",p,0,3,0,0,"[120, 100, 86, 66, 54, 42, 30, 28, 36]",0
5.3,['note_on'],[0],[57],[30],ppp,0,1,0,0,"[46, 58, 70, 82, 92, 102, 112, 120, 126, 127]",0
5.4,[],[],[],[],,0,0,0,0,0,0
5.5,"['note_on', 'note_on']","[0, 0]","[54, 64]","[52, 65]",p,0,2,0,0,0,0
5.6,['note_on'],[0],[57],[35],ppp,0,1,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,"[126, 114, 100, 92]",0
5.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 54, 57]","[70, 49, 40]",p,0,3,0,0,"[90, 94, 100, 106, 112, 118, 122, 126, 127]",0
6.0,[],[],[],[],,0,0,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,"['note_on', 'note_on']","[0, 0]","[63, 54]","[50, 31]",pp,0,2,0,0,0,0
6.3,[],[],[],[],,0,0,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,124,0
6.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[54, 63, 57]","[47, 59, 36]",pp,0,3,0,0,"[112, 100, 90, 82, 86, 92, 100, 108, 118, 126]",0
6.6,[],[],[],[],,0,0,0,0,127,0
6.7,[],[],[],[],,0,0,0,0,0,0
6.8,"['note_on', 'note_on']","[0, 0]","[63, 54]","[59, 51]",p,0,2,0,0,0,0
6.9,['note_on'],[0],[57],[40],pp,0,1,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,[],[],[],[],,0,0,0,0,0,0
7.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[63, 72, 54, 57]","[65, 86, 47, 36]",p,0,4,0,0,0,0
7.3,[],[],[],[],,0,0,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 54, 57]","[79, 56, 34]",p,0,3,0,0,0,0
7.6,[],[],[],[],,0,0,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,0,0
7.8,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[63, 71, 53, 57]","[67, 95, 59, 42]",mp,0,4,0,0,"[114, 100, 86, 74, 64, 56, 52, 56, 64]",0
7.9,[],[],[],[],,0,0,0,0,"[72, 84, 92, 102, 112, 122, 127]",0
8.0,[],[],[],[],,0,0,0,0,0,0
8.1,"['note_on', 'note_on']","[0, 0]","[63, 53]","[54, 36]",pp,0,2,0,0,0,0
8.2,['note_on'],[0],[57],[36],pp,0,1,0,0,0,0
8.3,[],[],[],[],,0,0,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 57, 53]","[65, 40, 35]",pp,0,3,0,0,0,0
8.6,[],[],[],[],,0,0,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,"['note_on', 'note_on']","[0, 0]","[63, 57]","[65, 36]",p,0,2,0,0,0,0
8.9,[],[],[],[],,0,0,0,0,0,0
9.0,[],[],[],[],,0,0,0,0,"[118, 104, 90]",0
9.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[53, 62, 57]","[50, 63, 49]",p,0,3,0,0,"[78, 68, 64, 65, 72, 80, 90, 102, 112, 124]",0
9.2,[],[],[],[],,0,0,0,0,127,0
9.3,[],[],[],[],,0,0,0,0,0,0
9.4,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 57, 53]","[65, 54, 52]",p,0,3,0,0,0,0
9.5,[],[],[],[],,0,0,0,0,0,0
9.6,[],[],[],[],,0,0,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0, 0]","[56, 72, 62, 71, 53, 74]","[56, 63, 56, 69, 44, 49]",p,0,6,0,0,0,0
9.9,[],[],[],[],,0,0,0,0,0,0
10.0,[],[],[],[],,0,0,0,0,0,0
10.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[53, 62, 56]","[59, 61, 54]",p,0,3,0,0,0,0
10.2,[],[],[],[],,0,0,0,0,0,0
10.3,[],[],[],[],,0,0,0,0,0,0
10.4,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[56, 71, 62, 74]","[48, 83, 59, 75]",mp,0,4,0,0,"[110, 92, 68, 52, 32, 18, 6]",0
10.5,['note_on'],[0],[52],[48],pp,0,1,0,0,"[2, 4, 8, 18, 30, 48, 62, 76, 90, 102, 114]",0
10.6,[],[],[],[],,0,0,0,0,"[126, 127]",0
10.7,[],[],[],[],,0,0,0,0,0,0
10.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 52, 56]","[54, 50, 47]",p,0,3,0,0,0,0
10.9,[],[],[],[],,0,0,0,0,0,0
11.0,[],[],[],[],,0,0,0,0,0,0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 52, 56]","[69, 53, 49]",p,0,3,0,0,0,0
11.3,[],[],[],[],,0,0,0,0,0,0
11.4,[],[],[],[],,0,0,0,0,0,0
11.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[56, 62, 52]","[54, 63, 36]",p,0,3,0,0,0,0
11.6,[],[],[],[],,0,0,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,[],[],[],[],,0,0,0,0,"[118, 100, 84, 66]",0
11.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[55, 52, 62]","[56, 48, 65]",p,0,3,0,0,"[54, 46, 40, 44, 50, 56, 62, 72, 80, 90]",0
12.0,[],[],[],[],,0,0,0,0,"[100, 110, 120, 127]",0
12.1,[],[],[],[],,0,0,0,0,0,0
12.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 52, 55]","[63, 61, 52]",p,0,3,0,0,0,0
12.3,[],[],[],[],,0,0,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,0,0
12.5,[],[],[],[],,0,0,0,0,0,0
12.6,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[70, 61, 74, 52, 55]","[84, 67, 44, 56, 42]",p,0,5,0,0,0,0
12.7,[],[],[],[],,0,0,0,0,0,0
12.8,[],[],[],[],,0,0,0,0,0,0
