sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,['note_on'],[0],[60],[57],p,0,1,100,0,"[2, 20]",64
0.1,['note_on'],[0],[68],[79],mf,1,1,0,0,"[40, 62, 80, 98, 114, 127]",0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,['note_on'],[0],[67],[78],mf,1,1,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,['note_on'],[0],[72],[76],mf,1,1,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,['note_on'],[0],[76],[78],mf,1,1,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,['note_on'],[0],[67],[82],mf,1,1,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,['note_on'],[0],[69],[87],mf,1,1,0,0,0,0
1.2,['note_on'],[0],[72],[80],mf,1,1,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,['note_on'],[0],[60],[61],p,0,1,0,0,"[114, 92, 72]",0
1.6,['note_on'],[0],[67],[93],f,1,1,0,0,"[52, 32, 16, 4, 0, 6]",0
1.7,[],[],[],[],,0,0,0,0,"[18, 34, 52, 68, 88, 106, 124, 127]",0
1.8,['note_on'],[0],[69],[100],f,1,1,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,['note_on'],[0],[72],[80],mf,1,1,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,['note_on'],[0],[76],[82],mf,1,1,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,['note_on'],[0],[67],[80],mf,1,1,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,['note_on'],[0],[69],[87],mf,1,1,0,0,0,0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,['note_on'],[0],[72],[78],mf,1,1,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,['note_on'],[0],[59],[72],mp,0,1,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,"[104, 82, 62, 42, 28, 14, 6, 0]",0
3.2,['note_on'],[0],[62],[70],mp,0,1,0,0,"[4, 12, 28, 44, 62, 78, 94, 108, 122, 127]",0
3.3,[],[],[],[],,0,0,0,0,0,0
3.4,"['note_on', 'note_on']","[0, 0]","[65, 64]","[62, 66]",mp,0,2,0,0,0,0
3.5,[],[],[],[],,0,0,0,0,0,0
3.6,['note_on'],[0],[74],[67],mp,0,1,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,['note_on'],[0],[77],[72],mp,0,1,0,0,0,0
3.9,"['note_on', 'note_on']","[0, 0]","[67, 69]","[54, 51]",p,0,2,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,['note_on'],[0],[74],[78],mf,1,1,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,['note_on'],[0],[77],[87],mf,1,1,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,['note_on'],[0],[59],[71],mp,0,1,0,0,"[126, 106, 90, 70, 54, 36]",0
4.6,[],[],[],[],,0,0,0,0,"[16, 0]",0
4.7,['note_on'],[0],[62],[59],p,0,1,0,0,"[4, 22, 38, 56, 70, 86, 98]",0
4.8,[],[],[],[],,0,0,0,0,"[106, 114, 120, 124, 127]",0
4.9,['note_on'],[0],[67],[89],f,1,1,0,0,0,0
5.0,['note_on'],[0],[74],[87],mf,1,1,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,['note_on'],[0],[77],[87],mf,1,1,0,0,0,0
5.3,[],[],[],[],,0,0,0,0,0,0
5.4,['note_on'],[0],[67],[87],mf,1,1,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,['note_on'],[0],[72],[74],mp,0,1,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,['note_on'],[0],[77],[76],mf,1,1,0,0,0,0
