sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[81, 69, 57]","[80, 60, 64]",mp,0,3,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,"[36, 64]",0
1.2,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0, 0]","[76, 64, 77, 52, 65, 54]","[59, 60, 54, 60, 39, 27]",p,0,6,0,0,"[86, 104, 118, 127]",0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,"[118, 94, 65, 0]",0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,"['note_on', 'note_on']","[0, 0]","[52, 64]","[56, 56]",p,0,2,0,0,0,0
2.1,"['note_on', 'note_on']","[0, 0]","[51, 63]","[55, 64]",p,0,2,0,0,0,0
2.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[61, 49, 62, 57]","[67, 60, 38, 76]",p,0,4,0,0,0,0
2.3,['note_on'],[0],[45],[78],mf,1,1,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[82, 70, 58]","[85, 77, 78]",mf,1,3,0,0,0,0
3.3,[],[],[],[],,0,0,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[78, 66, 54]","[89, 91, 55]",mf,1,3,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,[],[],[],[],,0,0,0,0,0,0
4.3,[],[],[],[],,0,0,0,0,0,0
4.4,"['note_on', 'note_on']","[0, 0]","[66, 54]","[65, 66]",mp,0,2,0,0,0,0
4.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 52, 62]","[52, 42, 56]",p,0,3,0,0,0,0
4.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[50, 61, 49]","[39, 78, 57]",p,0,3,0,0,0,0
4.7,"['note_on', 'note_on']","[0, 0]","[59, 47]","[87, 80]",mf,1,2,0,0,0,0
4.8,[],[],[],[],,0,0,0,0,0,0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,[],[],[],[],,0,0,0,0,0,0
5.3,[],[],[],[],,0,0,0,0,0,0
5.4,[],[],[],[],,0,0,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[88, 76, 62]","[86, 67, 69]",mp,0,3,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[86, 59, 74]","[96, 85, 85]",f,1,3,0,0,0,0
6.0,[],[],[],[],,0,0,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
6.3,[],[],[],[],,0,0,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[83, 56, 71]","[83, 84, 73]",mf,1,3,0,0,0,0
6.6,[],[],[],[],,0,0,0,0,0,0
6.7,[],[],[],[],,0,0,0,0,0,0
6.8,[],[],[],[],,0,0,0,0,0,0
6.9,[],[],[],[],,0,0,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[76, 52, 64]","[78, 82, 64]",mp,0,3,0,0,0,0
7.2,[],[],[],[],,0,0,0,0,0,0
7.3,[],[],[],[],,0,0,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,[],[],[],[],,0,0,0,0,0,0
7.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[74, 62, 50]","[78, 69, 76]",mp,0,3,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,0,0
8.0,[],[],[],[],,0,0,0,0,0,0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,['note_on'],[0],[71],[85],mf,1,1,0,0,0,0
8.3,"['note_on', 'note_on']","[0, 0]","[59, 47]","[74, 78]",mf,1,2,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,0,0
8.6,[],[],[],[],,0,0,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,[],[],[],[],,0,0,0,0,0,0
8.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[68, 44, 56]","[79, 66, 64]",mp,0,3,0,0,0,0
9.0,[],[],[],[],,0,0,0,0,0,0
9.1,[],[],[],[],,0,0,0,0,0,0
9.2,[],[],[],[],,0,0,0,0,0,0
9.3,[],[],[],[],,0,0,0,0,0,0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 40, 52]","[49, 39, 35]",pp,0,3,0,0,"[24, 72, 92]",0
9.6,[],[],[],[],,0,0,0,0,"[110, 127]",0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,0,0
9.9,[],[],[],[],,0,0,0,0,0,0
10.0,[],[],[],[],,0,0,0,0,"[122, 100]",0
10.1,[],[],[],[],,0,0,0,0,"[18, 0]",0
10.2,[],[],[],[],,0,0,0,0,0,0
10.3,[],[],[],[],,0,0,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,0,0
10.5,"['note_on', 'note_on']","[0, 0]","[57, 45]","[60, 57]",p,0,2,0,0,"[28, 127]",0
10.6,"['note_on', 'note_on']","[0, 0]","[61, 49]","[64, 55]",p,0,2,0,0,0,0
10.7,"['note_on', 'note_on']","[0, 0]","[64, 52]","[71, 50]",p,0,2,0,0,0,0
10.8,"['note_on', 'note_on']","[0, 0]","[69, 57]","[100, 98]",f,1,2,0,0,0,0
10.9,[],[],[],[],,0,0,0,0,0,0
11.0,[],[],[],[],,0,0,0,0,0,0
11.1,['note_on'],[0],[71],[92],f,1,1,0,0,"[102, 82, 64, 44, 28, 14]",0
11.2,[],[],[],[],,0,0,0,0,"[1, 0]",0
11.3,[],[],[],[],,0,0,0,0,0,0
11.4,['note_on'],[0],[73],[91],f,1,1,0,0,0,0
11.5,[],[],[],[],,0,0,0,0,0,0
11.6,[],[],[],[],,0,0,0,0,0,0
11.7,['note_on'],[0],[74],[89],f,1,1,0,0,0,0
11.8,[],[],[],[],,0,0,0,0,0,0
11.9,['note_on'],[0],[76],[82],mf,1,1,0,0,0,0
12.0,[],[],[],[],,0,0,0,0,0,0
12.1,[],[],[],[],,0,0,0,0,0,0
12.2,['note_on'],[0],[78],[81],mf,1,1,0,0,0,0
12.3,[],[],[],[],,0,0,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,0,0
12.5,['note_on'],[0],[80],[91],f,1,1,0,0,0,0
12.6,[],[],[],[],,0,0,0,0,0,0
12.7,[],[],[],[],,0,0,0,0,0,0
12.8,['note_on'],[0],[81],[80],mf,1,1,0,0,0,0
12.9,[],[],[],[],,0,0,0,0,"[1, 0]",0
13.0,[],[],[],[],,0,0,0,0,0,0
13.1,['note_on'],[0],[76],[73],mp,0,1,0,0,"[6, 22, 36, 46, 56]",0
13.2,[],[],[],[],,0,0,0,0,"[58, 56, 48, 40]",0
13.3,[],[],[],[],,0,0,0,0,"[8, 0]",0
13.4,"['note_on', 'note_on']","[0, 0]","[68, 48]","[46, 41]",pp,0,2,0,0,"[1, 20]",0
13.5,[],[],[],[],,0,0,0,0,"[30, 38, 28, 12, 0]",0
13.6,[],[],[],[],,0,0,0,0,"[10, 22, 34, 46]",0
13.7,"['note_on', 'note_on']","[0, 0]","[69, 50]","[57, 42]",p,0,2,0,0,"[58, 66, 74, 82, 84, 82, 76, 68, 62]",0
13.8,[],[],[],[],,0,0,0,0,"[54, 44, 34, 18, 2, 0]",0
13.9,[],[],[],[],,0,0,0,0,"[2, 16, 30, 40, 50, 60]",0
14.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[74, 71, 52]","[60, 56, 57]",p,0,3,0,0,"[65, 68, 65, 64, 62, 60]",0
14.1,[],[],[],[],,0,0,0,0,"[58, 56]",0
14.2,[],[],[],[],,0,0,0,0,"[48, 36, 20, 2, 0]",0
14.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[73, 64, 53]","[54, 49, 56]",p,0,3,0,0,0,0
14.4,[],[],[],[],,0,0,0,0,"[2, 8, 10, 8, 6]",0
14.5,[],[],[],[],,0,0,0,0,"[1, 0]",0
14.6,['note_on'],[0],[43],[69],mp,0,1,0,0,0,0
14.7,[],[],[],[],,0,0,0,0,0,0
14.8,[],[],[],[],,0,0,0,0,0,0
14.9,['note_on'],[0],[47],[67],mp,0,1,0,0,0,0
15.0,[],[],[],[],,0,0,0,0,0,0
