sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,"[124, 110, 98, 86, 70, 54, 34]",0
0.3,[],[],[],[],,0,0,0,0,"[14, 0]",0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,[],[],[],[],,0,0,0,0,0,0
2.0,[],[],[],[],,0,0,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,[],[],[],[],,0,0,0,0,0,0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,['note_on'],[0],[70],[30],ppp,0,1,0,0,"[8, 44, 76]",0
3.1,[],[],[],[],,0,0,0,0,127,0
3.2,[],[],[],[],,0,0,0,0,0,0
3.3,[],[],[],[],,0,0,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,[],[],[],[],,0,0,0,0,0,0
3.6,['note_on'],[0],[79],[41],pp,0,1,0,0,"[94, 50, 6, 0]",0
3.7,['note_on'],[0],[39],[34],ppp,0,1,0,0,"[4, 32, 65, 100, 127]",0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,[],[],[],[],,0,0,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,"['note_on', 'note_on']","[0, 0]","[63, 55]","[34, 30]",ppp,0,2,0,0,0,0
4.3,[],[],[],[],,0,0,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,[],[],[],[],,0,0,0,0,0,0
4.6,[],[],[],[],,0,0,0,0,0,0
4.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[58, 63, 67]","[42, 46, 34]",pp,0,3,0,0,0,0
4.8,[],[],[],[],,0,0,0,0,0,0
4.9,[],[],[],[],,0,0,0,0,0,0
5.0,[],[],[],[],,0,0,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,[],[],[],[],,0,0,0,0,0,0
5.3,['note_on'],[0],[51],[44],pp,0,1,0,0,0,0
5.4,[],[],[],[],,0,0,0,0,"[4, 92, 127]",0
5.5,[],[],[],[],,0,0,0,0,0,0
5.6,[],[],[],[],,0,0,0,0,0,0
5.7,[],[],[],[],,0,0,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[77, 56, 62]","[48, 28, 21]",ppp,0,3,0,0,0,0
6.0,[],[],[],[],,0,0,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
6.3,[],[],[],[],,0,0,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[79, 68, 62, 59]","[57, 27, 30, 33]",pp,0,4,0,0,0,0
6.6,[],[],[],[],,0,0,0,0,0,0
6.7,[],[],[],[],,0,0,0,0,0,0
6.8,[],[],[],[],,0,0,0,0,0,0
6.9,[],[],[],[],,0,0,0,0,0,0
7.0,[],[],[],[],,0,0,0,0,0,0
7.1,"['note_on', 'note_on']","[0, 0]","[77, 39]","[48, 40]",pp,0,2,0,0,"[122, 4, 0]",0
7.2,[],[],[],[],,0,0,0,0,102,0
7.3,[],[],[],[],,0,0,0,0,127,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,[],[],[],[],,0,0,0,0,0,0
7.7,[],[],[],[],,0,0,0,0,0,0
7.8,"['note_on', 'note_on']","[0, 0]","[63, 55]","[30, 27]",ppp,0,2,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,0,0
8.0,[],[],[],[],,0,0,0,0,0,0
8.1,[],[],[],[],,0,0,0,0,0,0
8.2,[],[],[],[],,0,0,0,0,0,0
8.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[58, 67, 63]","[27, 30, 30]",ppp,0,3,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,0,0
8.6,[],[],[],[],,0,0,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,[],[],[],[],,0,0,0,0,70,0
8.9,"['note_on', 'note_on']","[0, 0]","[75, 38]","[46, 38]",pp,0,2,0,0,"[34, 0, 6, 36]",0
9.0,[],[],[],[],,0,0,0,0,127,0
9.1,[],[],[],[],,0,0,0,0,0,0
9.2,[],[],[],[],,0,0,0,0,0,0
9.3,[],[],[],[],,0,0,0,0,0,0
9.4,[],[],[],[],,0,0,0,0,0,0
9.5,"['note_on', 'note_on']","[0, 0]","[55, 63]","[28, 34]",ppp,0,2,0,0,0,0
9.6,[],[],[],[],,0,0,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,0,0
9.9,[],[],[],[],,0,0,0,0,0,0
10.0,['note_on'],[0],[58],[27],ppp,0,1,0,0,0,0
10.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[70, 67, 63]","[50, 35, 34]",pp,0,3,0,0,0,0
10.2,[],[],[],[],,0,0,0,0,0,0
10.3,[],[],[],[],,0,0,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,0,0
10.5,[],[],[],[],,0,0,0,0,0,0
10.6,[],[],[],[],,0,0,0,0,"[116, 0]",0
10.7,"['note_on', 'note_on']","[0, 0]","[36, 79]","[41, 56]",pp,0,2,0,0,0,0
10.8,[],[],[],[],,0,0,0,0,"[34, 127]",0
10.9,[],[],[],[],,0,0,0,0,0,0
11.0,[],[],[],[],,0,0,0,0,0,0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,[],[],[],[],,0,0,0,0,0,0
11.3,['note_on'],[0],[64],[34],ppp,0,1,0,0,0,0
11.4,[],[],[],[],,0,0,0,0,0,0
11.5,[],[],[],[],,0,0,0,0,0,0
11.6,[],[],[],[],,0,0,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,['note_on'],[0],[70],[29],ppp,0,1,0,0,0,0
11.9,"['note_on', 'note_on']","[0, 0]","[72, 60]","[45, 24]",ppp,0,2,0,0,0,0
12.0,['note_on'],[0],[73],[52],p,0,1,0,0,0,0
12.1,['note_on'],[0],[72],[45],pp,0,1,0,0,0,0
12.2,['note_on'],[0],[71],[61],p,0,1,0,0,0,0
12.3,['note_on'],[0],[72],[54],p,0,1,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,"[76, 42, 4, 0]",0
12.5,"['note_on', 'note_on']","[0, 0]","[48, 84]","[37, 61]",p,0,2,0,0,"[4, 30, 80, 108]",0
12.6,[],[],[],[],,0,0,0,0,127,0
12.7,[],[],[],[],,0,0,0,0,0,0
12.8,[],[],[],[],,0,0,0,0,0,0
12.9,[],[],[],[],,0,0,0,0,0,0
13.0,['note_on'],[0],[55],[43],pp,0,1,0,0,0,0
13.1,['note_on'],[0],[64],[37],pp,0,1,0,0,0,0
13.2,[],[],[],[],,0,0,0,0,0,0
13.3,[],[],[],[],,0,0,0,0,0,0
13.4,[],[],[],[],,0,0,0,0,0,0
13.5,[],[],[],[],,0,0,0,0,0,0
13.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[70, 60, 79, 64]","[35, 27, 64, 23]",pp,0,4,0,0,0,0
13.7,[],[],[],[],,0,0,0,0,0,0
13.8,[],[],[],[],,0,0,0,0,0,0
13.9,[],[],[],[],,0,0,0,0,0,0
14.0,[],[],[],[],,0,0,0,0,0,0
14.1,[],[],[],[],,0,0,0,0,"[100, 0]",0
14.2,['note_on'],[0],[41],[37],pp,0,1,0,0,0,0
14.3,['note_on'],[0],[82],[65],mp,0,1,0,0,"[64, 127]",0
14.4,[],[],[],[],,0,0,0,0,0,0
14.5,[],[],[],[],,0,0,0,0,0,0
14.6,[],[],[],[],,0,0,0,0,0,0
14.7,[],[],[],[],,0,0,0,0,0,0
14.8,[],[],[],[],,0,0,0,0,0,0
14.9,"['note_on', 'note_on']","[0, 0]","[61, 53]","[36, 33]",ppp,0,2,0,0,0,0
15.0,[],[],[],[],,0,0,0,0,0,0
15.1,[],[],[],[],,0,0,0,0,0,0
15.2,[],[],[],[],,0,0,0,0,0,0
15.3,[],[],[],[],,0,0,0,0,0,0
15.4,[],[],[],[],,0,0,0,0,0,0
15.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 61, 58]","[38, 30, 27]",ppp,0,3,0,0,0,0
15.6,[],[],[],[],,0,0,0,0,0,0
15.7,[],[],[],[],,0,0,0,0,0,0
15.8,[],[],[],[],,0,0,0,0,0,0
15.9,[],[],[],[],,0,0,0,0,0,0
16.0,[],[],[],[],,0,0,0,0,0,0
16.1,"['note_on', 'note_on']","[0, 0]","[80, 41]","[52, 40]",pp,0,2,0,0,"[72, 30, 0]",0
16.2,[],[],[],[],,0,0,0,0,"[14, 42, 100, 127]",0
16.3,[],[],[],[],,0,0,0,0,0,0
16.4,[],[],[],[],,0,0,0,0,0,0
16.5,[],[],[],[],,0,0,0,0,0,0
16.6,[],[],[],[],,0,0,0,0,0,0
16.7,"['note_on', 'note_on']","[0, 0]","[60, 53]","[33, 30]",ppp,0,2,0,0,0,0
16.8,[],[],[],[],,0,0,0,0,0,0
16.9,[],[],[],[],,0,0,0,0,0,0
