sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,[],[],[],[],,0,0,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,[],[],[],[],,0,0,0,0,0,0
0.9,[],[],[],[],,0,0,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,[],[],[],[],,0,0,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,['note_on'],[0],[59],[48],pp,0,1,0,0,0,0
2.0,[],[],[],[],,0,0,0,0,0,0
2.1,[],[],[],[],,0,0,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,[],[],[],[],,0,0,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,['note_on'],[0],[71],[69],mp,0,1,0,0,0,0
2.6,[],[],[],[],,0,0,0,0,0,0
2.7,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 55, 59, 64]","[69, 39, 41, 30]",pp,0,4,0,0,"[110, 90, 65, 40]",0
2.8,[],[],[],[],,0,0,0,0,"[0, 18, 40, 62, 84, 108, 127]",0
2.9,[],[],[],[],,0,0,0,0,0,0
3.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 59, 55]","[35, 38, 35]",pp,0,3,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,[],[],[],[],,0,0,0,0,0,0
3.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 59, 55]","[35, 38, 39]",pp,0,3,0,0,0,0
3.4,[],[],[],[],,0,0,0,0,0,0
3.5,[],[],[],[],,0,0,0,0,0,0
3.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[59, 64, 55]","[38, 31, 39]",pp,0,3,0,0,0,0
3.7,[],[],[],[],,0,0,0,0,0,0
3.8,[],[],[],[],,0,0,0,0,0,0
3.9,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[59, 64, 55]","[35, 32, 36]",ppp,0,3,0,0,0,0
4.0,[],[],[],[],,0,0,0,0,0,0
4.1,[],[],[],[],,0,0,0,0,0,0
4.2,"['note_on', 'note_on']","[0, 0]","[59, 64]","[35, 31]",ppp,0,2,0,0,0,0
4.3,['note_on'],[0],[55],[36],pp,0,1,0,0,0,0
4.4,[],[],[],[],,0,0,0,0,0,0
4.5,[],[],[],[],,0,0,0,0,0,0
4.6,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[72, 59, 55, 64]","[71, 37, 37, 31]",pp,0,4,0,0,0,0
4.7,[],[],[],[],,0,0,0,0,0,0
4.8,[],[],[],[],,0,0,0,0,0,0
4.9,['note_on'],[0],[55],[39],pp,0,1,0,0,0,0
5.0,"['note_on', 'note_on']","[0, 0]","[59, 64]","[42, 30]",pp,0,2,0,0,0,0
5.1,[],[],[],[],,0,0,0,0,0,0
5.2,[],[],[],[],,0,0,0,0,0,0
5.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 64, 54, 57]","[69, 32, 40, 43]",pp,0,4,0,0,"[118, 94, 0]",0
5.4,[],[],[],[],,0,0,0,0,0,0
5.5,[],[],[],[],,0,0,0,0,"[96, 126, 127]",0
5.6,"['note_on', 'note_on']","[0, 0]","[64, 57]","[32, 35]",ppp,0,2,0,0,0,0
5.7,['note_on'],[0],[54],[30],ppp,0,1,0,0,0,0
5.8,[],[],[],[],,0,0,0,0,0,0
5.9,[],[],[],[],,0,0,0,0,0,0
6.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 54]","[33, 37, 32]",ppp,0,3,0,0,0,0
6.1,[],[],[],[],,0,0,0,0,0,0
6.2,[],[],[],[],,0,0,0,0,0,0
6.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 54]","[41, 35, 33]",pp,0,3,0,0,0,0
6.4,[],[],[],[],,0,0,0,0,0,0
6.5,[],[],[],[],,0,0,0,0,0,0
6.6,['note_on'],[0],[63],[37],pp,0,1,0,0,"[118, 94, 42, 18, 1]",0
6.7,"['note_on', 'note_on']","[0, 0]","[57, 54]","[32, 37]",ppp,0,2,0,0,"[0, 4, 22, 40, 60, 80, 102]",0
6.8,[],[],[],[],,0,0,0,0,127,0
6.9,['note_on'],[0],[63],[39],pp,0,1,0,0,0,0
7.0,"['note_on', 'note_on']","[0, 0]","[57, 54]","[46, 37]",pp,0,2,0,0,0,0
7.1,[],[],[],[],,0,0,0,0,0,0
7.2,[],[],[],[],,0,0,0,0,0,0
7.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[72, 63, 57, 54]","[76, 33, 46, 31]",pp,0,4,0,0,0,0
7.4,[],[],[],[],,0,0,0,0,0,0
7.5,[],[],[],[],,0,0,0,0,0,0
7.6,"['note_on', 'note_on']","[0, 0]","[54, 63]","[36, 33]",ppp,0,2,0,0,0,0
7.7,['note_on'],[0],[57],[41],pp,0,1,0,0,0,0
7.8,[],[],[],[],,0,0,0,0,0,0
7.9,[],[],[],[],,0,0,0,0,126,0
8.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[71, 63, 57, 53]","[64, 38, 38, 41]",pp,0,4,0,0,"[102, 78, 28, 2, 0]",0
8.1,[],[],[],[],,0,0,0,0,"[14, 40, 64, 90, 127]",0
8.2,[],[],[],[],,0,0,0,0,0,0
8.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 57, 53]","[47, 32, 35]",pp,0,3,0,0,0,0
8.4,[],[],[],[],,0,0,0,0,0,0
8.5,[],[],[],[],,0,0,0,0,0,0
8.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[63, 57, 53]","[42, 34, 39]",pp,0,3,0,0,0,0
8.7,[],[],[],[],,0,0,0,0,0,0
8.8,[],[],[],[],,0,0,0,0,0,0
8.9,['note_on'],[0],[63],[39],pp,0,1,0,0,0,0
9.0,['note_on'],[0],[57],[39],pp,0,1,0,0,0,0
9.1,[],[],[],[],,0,0,0,0,0,0
9.2,[],[],[],[],,0,0,0,0,104,0
9.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 53, 57]","[50, 39, 50]",pp,0,3,0,0,"[78, 52, 26, 4, 0, 2]",0
9.4,[],[],[],[],,0,0,0,0,"[20, 36, 58, 74, 96, 120, 127]",0
9.5,[],[],[],[],,0,0,0,0,0,0
9.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 57, 53]","[36, 43, 35]",pp,0,3,0,0,0,0
9.7,[],[],[],[],,0,0,0,0,0,0
9.8,[],[],[],[],,0,0,0,0,0,0
9.9,[],[],[],[],,0,0,0,0,"[124, 106, 92, 76]",0
10.0,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[72, 56, 62, 53]","[71, 41, 42, 42]",p,0,4,0,0,"[65, 54, 42, 34, 28, 26, 30, 38, 42, 54, 62]",0
10.1,[],[],[],[],,0,0,0,0,"[72, 86, 100, 116, 127]",0
10.2,[],[],[],[],,0,0,0,0,0,0
10.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 56, 53]","[36, 42, 42]",pp,0,3,0,0,0,0
10.4,[],[],[],[],,0,0,0,0,0,0
10.5,[],[],[],[],,0,0,0,0,0,0
10.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 71, 56]","[37, 71, 46]",p,0,3,0,0,"[110, 92, 68, 44, 1]",0
10.7,['note_on'],[0],[52],[48],pp,0,1,0,0,"[0, 6, 32]",0
10.8,[],[],[],[],,0,0,0,0,"[56, 78, 102, 126, 127]",0
10.9,['note_on'],[0],[62],[39],pp,0,1,0,0,0,0
11.0,"['note_on', 'note_on']","[0, 0]","[56, 52]","[40, 36]",pp,0,2,0,0,0,0
11.1,[],[],[],[],,0,0,0,0,0,0
11.2,[],[],[],[],,0,0,0,0,0,0
11.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 56, 52]","[41, 35, 39]",pp,0,3,0,0,0,0
11.4,[],[],[],[],,0,0,0,0,0,0
11.5,[],[],[],[],,0,0,0,0,0,0
11.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 56, 52]","[36, 41, 38]",pp,0,3,0,0,0,0
11.7,[],[],[],[],,0,0,0,0,0,0
11.8,[],[],[],[],,0,0,0,0,0,0
11.9,[],[],[],[],,0,0,0,0,"[94, 40]",0
12.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 55, 52]","[34, 48, 38]",pp,0,3,0,0,"[12, 0, 4]",0
12.1,[],[],[],[],,0,0,0,0,"[24, 92, 127]",0
12.2,[],[],[],[],,0,0,0,0,0,0
12.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[62, 55, 52]","[41, 45, 36]",pp,0,3,0,0,0,0
12.4,[],[],[],[],,0,0,0,0,0,0
12.5,[],[],[],[],,0,0,0,0,0,0
12.6,"['note_on', 'note_on']","[0, 0]","[70, 61]","[66, 44]",p,0,2,0,0,"[112, 98]",0
12.7,"['note_on', 'note_on']","[0, 0]","[55, 52]","[43, 36]",pp,0,2,0,0,"[88, 76, 65, 56, 50, 44, 48, 56, 60, 68, 78]",0
12.8,[],[],[],[],,0,0,0,0,"[90, 102, 118, 127]",0
12.9,[],[],[],[],,0,0,0,0,0,0
13.0,"['note_on', 'note_on']","[0, 0]","[61, 55]","[44, 35]",pp,0,2,0,0,0,0
13.1,[],[],[],[],,0,0,0,0,0,0
13.2,[],[],[],[],,0,0,0,0,0,0
13.3,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[69, 60, 55, 52]","[66, 45, 48, 36]",pp,0,4,0,0,"[120, 98, 78, 56, 32, 12, 0]",0
