sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,"['note_on', 'note_on']","[0, 0]","[60, 64]","[58, 53]",p,0,2,0,0,0,0
0.2,['note_on'],[0],[57],[47],pp,0,1,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,[],[],[],[],,0,0,0,0,0,0
0.5,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 60, 64, 57]","[69, 62, 64, 58]",mp,0,4,0,0,0,0
0.6,[],[],[],[],,0,0,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 64, 57]","[55, 51, 51]",p,0,3,0,0,0,0
0.9,['note_on'],[0],[76],[64],mp,0,1,0,0,0,0
1.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[76, 60, 64]","[82, 62, 64]",mp,0,3,0,0,0,0
1.1,['note_on'],[0],[57],[53],p,0,1,0,0,0,0
1.2,[],[],[],[],,0,0,0,0,0,0
1.3,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 60, 57]","[55, 53, 58]",p,0,3,0,0,0,0
1.4,[],[],[],[],,0,0,0,0,0,0
1.5,['note_on'],[0],[72],[73],mp,0,1,0,0,0,0
1.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 60]","[66, 66, 60]",mp,0,3,0,0,0,0
1.7,[],[],[],[],,0,0,0,0,0,0
1.8,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[64, 57, 60]","[58, 59, 58]",p,0,3,0,0,0,0
1.9,['note_on'],[0],[69],[69],mp,0,1,0,0,0,0
2.0,[],[],[],[],,0,0,0,0,0,0
2.1,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[69, 64, 62, 59]","[69, 69, 62, 55]",mp,0,4,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
