sec,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan
0.0,[],[],[],[],,0,0,127,0,0,64
0.1,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 57, 64]","[67, 63, 63]",mp,0,3,0,0,0,0
0.2,[],[],[],[],,0,0,0,0,0,0
0.3,[],[],[],[],,0,0,0,0,0,0
0.4,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 64, 60, 57]","[83, 75, 71, 75]",mf,1,4,0,0,0,0
0.5,[],[],[],[],,0,0,0,0,0,0
0.6,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 60, 64]","[59, 55, 52]",p,0,3,0,0,0,0
0.7,[],[],[],[],,0,0,0,0,0,0
0.8,['note_on'],[0],[76],[63],mp,0,1,0,0,0,0
0.9,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[76, 60, 57, 64]","[97, 65, 61, 67]",mp,0,4,0,0,0,0
1.0,[],[],[],[],,0,0,0,0,0,0
1.1,[],[],[],[],,0,0,0,0,0,0
1.2,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 60, 64]","[59, 57, 53]",p,0,3,0,0,0,0
1.3,[],[],[],[],,0,0,0,0,0,0
1.4,['note_on'],[0],[72],[84],mf,1,1,0,0,0,0
1.5,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[60, 57, 64]","[65, 59, 65]",mp,0,3,0,0,0,0
1.6,[],[],[],[],,0,0,0,0,0,0
1.7,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[57, 60, 64]","[59, 59, 55]",p,0,3,0,0,0,0
1.8,[],[],[],[],,0,0,0,0,0,0
1.9,['note_on'],[0],[69],[78],mf,1,1,0,0,0,0
2.0,"['note_on', 'note_on', 'note_on']","[0, 0, 0]","[69, 64, 62]","[100, 73, 67]",mf,1,3,0,0,0,0
2.1,"['note_on', 'note_on']","[0, 0]","[59, 57]","[61, 59]",p,0,2,0,0,0,0
2.2,[],[],[],[],,0,0,0,0,0,0
2.3,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[68, 64, 59, 62, 57]","[86, 57, 55, 53, 42]",p,0,5,0,0,0,0
2.4,[],[],[],[],,0,0,0,0,0,0
2.5,[],[],[],[],,0,0,0,0,0,0
2.6,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0, 0]","[68, 59, 64, 57, 62]","[89, 57, 59, 49, 55]",p,0,5,0,0,"[58, 80, 100]",0
2.7,[],[],[],[],,0,0,0,0,"[118, 127]",0
2.8,[],[],[],[],,0,0,0,0,0,0
2.9,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[64, 62, 59, 57]","[53, 47, 42, 38]",pp,0,4,0,0,0,0
3.0,[],[],[],[],,0,0,0,0,0,0
3.1,[],[],[],[],,0,0,0,0,0,0
3.2,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[62, 64, 57, 59]","[52, 57, 44, 44]",p,0,4,0,0,0,0
3.3,[],[],[],[],,0,0,0,0,0,0
3.4,"['note_on', 'note_on', 'note_on', 'note_on']","[0, 0, 0, 0]","[57, 64, 62, 59]","[44, 55, 53, 40]",pp,0,4,0,0,0,0
3.5,[],[],[],[],,0,0,0,0,0,0
3.6,[],[],[],[],,0,0,0,0,0,0
